age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,1.35,,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,7.0
30,2.75,4.0,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,20.0
40,4.4,7.4,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,40.0
50,6.2,10.4,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,66.0
60,7.75,13.0,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,96.0
70,9.2,15.3,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,128.0
80,10.65,17.4,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,161.0
90,12.0,19.3,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,194.0
100,13.05,21.0,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,225.0
110,14.2,22.6,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,254.0
120,15.25,24.1,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,281.0
130,16.2,25.6,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,305.0
140,16.85,27.0,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,327.0
150,17.75,28.4,Picea abies,DE,normal,5.0,forest_elements,fe_spruce_guttenberg_1915_si5,347.0
