age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
40,5.2,3.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,12.0
45,6.3,4.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,20.0
50,7.4,5.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,30.0
55,8.4,6.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,43.0
60,9.4,7.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,58.0
65,10.4,9.0,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,78.0
70,11.4,10.2,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,97.0
75,12.2,11.4,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,112.0
80,13.0,12.6,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,125.0
85,13.7,13.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,138.0
90,14.4,14.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,150.0
95,15.1,15.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,161.0
100,15.7,16.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,171.0
105,16.3,17.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,181.0
110,16.9,18.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,190.0
115,17.4,19.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,198.0
120,17.9,20.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,206.0
125,18.4,21.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,214.0
130,18.8,22.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,222.0
135,19.2,23.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,229.0
140,19.6,24.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,236.0
145,19.8,25.8,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,242.0
150,20.0,26.9,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,246.0
155,20.1,27.6,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,248.0
160,20.2,28.5,Quercus robur,DE,moderate_thinning,4.0,forest_elements,fe_oak_juettner_moderate_1955_si4,249.0
