age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
25,7.5,7.2,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,46.0
30,9.1,8.9,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,85.0
35,10.6,10.7,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,120.0
40,11.95,12.3,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,151.0
45,13.2,13.9,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,178.0
50,14.4,15.5,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,201.0
55,15.5,17.0,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,221.0
60,16.55,18.4,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,238.0
65,17.5,19.8,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,254.0
70,18.35,21.2,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,267.0
75,19.1,22.6,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,279.0
80,19.85,23.8,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,290.0
85,20.5,25.1,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,300.0
90,21.1,26.3,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,308.0
95,21.65,27.5,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,315.0
100,22.2,28.6,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,320.0
105,22.7,29.8,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,324.0
110,23.15,30.8,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,326.0
115,23.55,31.9,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,327.0
120,23.95,32.9,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,328.0
125,24.3,33.9,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,327.0
130,24.65,34.8,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,325.0
135,24.95,35.7,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,323.0
140,25.2,36.6,Pinus sylvestris,DE,moderate_thinning,2.5,forest_elements,fe_pine_wiedemann_moderate_1943_si2.5,319.0
