age,height,dbh,species_latin,region,management,site_index,source,table_id,volume
20,1.85,,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,8.0
30,3.65,5.1,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,32.0
40,5.6,8.7,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,62.0
50,7.6,11.8,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,101.0
60,9.45,14.6,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,144.0
70,11.2,17.0,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,188.0
80,12.75,19.2,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,232.0
90,14.2,21.2,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,274.0
100,15.55,23.0,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,313.0
110,16.8,24.7,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,349.0
120,17.95,26.3,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,381.0
130,19.0,27.9,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,410.0
140,19.95,29.3,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,435.0
150,20.85,30.7,Picea abies,DE,normal,4.5,forest_elements,fe_spruce_guttenberg_1915_si4.5,457.0
