age,height,dbh
20,10.7,12.2
30,15.0,17.0
40,18.1,21.2
50,20.3,24.8
60,21.8,27.8
70,22.8,30.2
80,23.5,31.9
90,24.0,33.1
100,24.4,33.6
110,24.6,33.7
120,24.8,33.7
130,24.9,33.8
140,25.0,33.8
150,25.0,33.8
160,25.1,33.8
170,25.1,33.8
180,25.1,33.8
