age,height,dbh
10,1.8,0.0
20,4.4,2.5
30,7.8,5.2
40,11.6,9.2
50,14.6,13.7
60,17.0,18.1
70,18.9,22.0
80,20.4,25.6
90,21.6,28.7
100,22.5,31.4
110,23.2,33.8
120,23.6,35.8
130,24.0,37.5
