age,height,dbh
30,11.1,6.9
40,15.3,10.7
50,19.0,14.4
60,22.1,18.0
70,24.5,21.6
80,26.5,25.2
90,28.0,28.4
100,29.2,31.3
110,30.0,33.9
120,30.6,36.3
130,31.1,38.6
140,31.4,40.8
