age,height,dbh
20,13.7,13.1
30,17.2,17.3
40,19.7,21.0
50,21.6,24.4
60,23.1,27.4
70,24.2,30.3
80,25.0,33.0
90,25.7,35.6
100,26.2,38.0
110,26.5,40.4
120,26.8,42.6
