age,height,dbh
20,6.7,0.0
30,10.9,9.3
40,14.5,13.5
50,17.5,17.3
60,19.9,20.6
70,21.9,23.4
80,23.5,25.6
90,24.8,27.4
100,25.8,28.9
110,26.5,30.0
120,27.2,30.9
130,27.6,31.6
140,28.0,32.1
150,28.3,32.6
