age,height,dbh
20,14.0,11.0
30,18.1,16.1
40,21.1,20.9
50,23.4,25.5
60,25.2,29.9
70,26.6,34.0
80,27.8,37.8
90,28.7,41.5
100,29.5,44.8
110,30.1,48.0
120,30.6,50.2
