age,height,dbh
30,12.5,10.2
40,17.6,15.0
50,21.4,19.5
60,24.5,23.8
70,26.8,27.7
80,28.6,31.3
90,30.0,34.7
100,31.1,37.7
110,32.0,40.4
120,32.7,42.9
130,33.2,45.0
140,33.6,46.9
150,34.0,48.4
