age,height,dbh
30,8.8,10.2
40,13.9,14.3
50,17.1,18.1
60,20.6,21.6
70,23.6,24.9
80,25.9,27.8
90,28.1,30.5
100,29.8,32.9
110,31.3,35.0
120,32.6,36.8
130,33.6,38.3
140,34.4,39.5
150,35.2,40.5
