age,height,dbh
20,12.1,12.8
30,15.7,18.2
40,18.3,22.4
50,20.1,25.5
60,21.4,27.9
70,22.4,29.7
80,23.1,31.0
90,23.7,32.0
100,24.0,32.7
110,24.3,33.2
120,24.5,33.5
