# UV coordinates (u, v)
193: (0.4, 536.6973795918036)
194: (0.5625, 2.864788975654116)
195: (0.2, 536.6973795918036)
196: (0.5625, 2.864788975654116)
197: (0.375, 2.864788975654116)
198: (0.4, 536.6973795918036)
199: (0.6000000000000001, 536.6973795918036)
200: (0.75, 2.864788975654116)
201: (0.4, 536.6973795918036)
202: (0.75, 2.864788975654116)
203: (0.5625, 2.864788975654116)
204: (0.6000000000000001, 536.6973795918036)
205: (0.8, 536.6973795918036)
206: (0.9375, 2.864788975654116)
207: (0.6000000000000001, 536.6973795918036)
208: (0.9375, 2.864788975654116)
209: (0.75, 2.864788975654116)
210: (0.8, 536.6973795918036)
211: (1.0, 536.6973795918036)
212: (1.125, 2.864788975654116)
213: (0.8, 536.6973795918036)
214: (1.125, 2.864788975654116)
215: (0.9375, 2.864788975654116)
216: (1.0, 536.6973795918036)
217: (1.2000000000000002, 536.6973795918036)
218: (1.3125, 2.864788975654116)
219: (1.0, 536.6973795918036)
220: (1.3125, 2.864788975654116)
221: (1.125, 2.864788975654116)
222: (1.2000000000000002, 536.6973795918036)
223: (1.4, 536.6973795918036)
224: (1.5, 2.864788975654116)
225: (1.2000000000000002, 536.6973795918036)
226: (1.5, 2.864788975654116)
227: (1.3125, 2.864788975654116)
228: (1.4, 536.6973795918036)
229: (1.6, 536.6973795918036)
230: (1.6875, 2.864788975654116)
231: (1.4, 536.6973795918036)
232: (1.6875, 2.864788975654116)
233: (1.5, 2.864788975654116)
234: (1.6, 536.6973795918036)
235: (1.7999999999999998, 536.6973795918036)
236: (1.875, 2.864788975654116)
237: (1.6, 536.6973795918036)
238: (1.875, 2.864788975654116)
239: (1.6875, 2.864788975654116)
240: (1.7999999999999998, 536.6973795918036)
241: (2.0, 536.6973795918036)
242: (2.0625, 2.864788975654116)
243: (1.7999999999999998, 536.6973795918036)
244: (2.0625, 2.864788975654116)
245: (1.875, 2.864788975654116)
246: (2.0, 536.6973795918036)
247: (2.1999999999999997, 536.6973795918036)
248: (2.25, 2.864788975654116)
249: (2.0, 536.6973795918036)
250: (2.25, 2.864788975654116)
251: (2.0625, 2.864788975654116)
252: (2.1999999999999997, 536.6973795918036)
253: (2.4000000000000004, 536.6973795918036)
254: (2.4375, 2.864788975654116)
255: (2.1999999999999997, 536.6973795918036)
256: (2.4375, 2.864788975654116)
257: (2.25, 2.864788975654116)
258: (2.4000000000000004, 536.6973795918036)
259: (2.6, 536.6973795918036)
260: (2.625, 2.864788975654116)
261: (2.4000000000000004, 536.6973795918036)
262: (2.625, 2.864788975654116)
263: (2.4375, 2.864788975654116)
264: (2.6, 536.6973795918036)
265: (2.8, 536.6973795918036)
266: (2.8125, 2.864788975654116)
267: (2.6, 536.6973795918036)
268: (2.8125, 2.864788975654116)
269: (2.625, 2.864788975654116)
270: (2.8, 536.6973795918036)
271: (3.0, 536.6973795918036)
272: (3.0, 2.864788975654116)
273: (2.8, 536.6973795918036)
274: (3.0, 2.864788975654116)
275: (2.8125, 2.864788975654116)
276: (0.0, 536.6973795918036)
277: (0.20000000000000018, 536.6973795918036)
278: (0.375, 2.864788975654116)
279: (0.0, 536.6973795918036)
280: (0.375, 2.864788975654116)
281: (0.1875, 2.864788975654116)
282: (0.0, 536.6973795918036)
283: (0.1875, 2.864788975654116)
284: (0.0, 2.864788975654116)
285: (0.21428571428571427, 579.8244798788463)
286: (0.42857142857142855, 579.8244798788463)
287: (0.6000000000000001, 536.6973795918036)
288: (0.21428571428571427, 579.8244798788463)
289: (0.6000000000000001, 536.6973795918036)
290: (0.4, 536.6973795918036)
291: (0.42857142857142855, 579.8244798788463)
292: (0.6428571428571428, 579.8244798788463)
293: (0.8, 536.6973795918036)
294: (0.42857142857142855, 579.8244798788463)
295: (0.8, 536.6973795918036)
296: (0.6000000000000001, 536.6973795918036)
297: (0.6428571428571428, 579.8244798788463)
298: (0.8571428571428571, 579.8244798788463)
299: (1.0, 536.6973795918036)
300: (0.6428571428571428, 579.8244798788463)
301: (1.0, 536.6973795918036)
302: (0.8, 536.6973795918036)
303: (0.8571428571428571, 579.8244798788463)
304: (1.0714285714285712, 579.8244798788463)
305: (1.2000000000000002, 536.6973795918036)
306: (0.8571428571428571, 579.8244798788463)
307: (1.2000000000000002, 536.6973795918036)
308: (1.0, 536.6973795918036)
309: (1.0714285714285712, 579.8244798788463)
310: (1.2857142857142856, 579.8244798788463)
311: (1.4, 536.6973795918036)
312: (1.0714285714285712, 579.8244798788463)
313: (1.4, 536.6973795918036)
314: (1.2000000000000002, 536.6973795918036)
315: (1.2857142857142856, 579.8244798788463)
316: (1.5, 579.8244798788463)
317: (1.6, 536.6973795918036)
318: (1.2857142857142856, 579.8244798788463)
319: (1.6, 536.6973795918036)
320: (1.4, 536.6973795918036)
321: (1.5, 579.8244798788463)
322: (1.7142857142857142, 579.8244798788463)
323: (1.7999999999999998, 536.6973795918036)
324: (1.5, 579.8244798788463)
325: (1.7999999999999998, 536.6973795918036)
326: (1.6, 536.6973795918036)
327: (1.7142857142857142, 579.8244798788463)
328: (1.9285714285714284, 579.8244798788463)
329: (2.0, 536.6973795918036)
330: (1.7142857142857142, 579.8244798788463)
331: (2.0, 536.6973795918036)
332: (1.7999999999999998, 536.6973795918036)
333: (1.9285714285714284, 579.8244798788463)
334: (2.1428571428571423, 579.8244798788463)
335: (2.1999999999999997, 536.6973795918036)
336: (1.9285714285714284, 579.8244798788463)
337: (2.1999999999999997, 536.6973795918036)
338: (2.0, 536.6973795918036)
339: (2.1428571428571423, 579.8244798788463)
340: (2.357142857142857, 579.8244798788463)
341: (2.4000000000000004, 536.6973795918036)
342: (2.1428571428571423, 579.8244798788463)
343: (2.4000000000000004, 536.6973795918036)
344: (2.1999999999999997, 536.6973795918036)
345: (2.357142857142857, 579.8244798788463)
346: (2.571428571428571, 579.8244798788463)
347: (2.6, 536.6973795918036)
348: (2.357142857142857, 579.8244798788463)
349: (2.6, 536.6973795918036)
350: (2.4000000000000004, 536.6973795918036)
351: (2.571428571428571, 579.8244798788463)
352: (2.7857142857142856, 579.8244798788463)
353: (2.8, 536.6973795918036)
354: (2.571428571428571, 579.8244798788463)
355: (2.8, 536.6973795918036)
356: (2.6, 536.6973795918036)
357: (2.7857142857142856, 579.8244798788463)
358: (3.0, 579.8244798788463)
359: (3.0, 536.6973795918036)
360: (2.7857142857142856, 579.8244798788463)
361: (3.0, 536.6973795918036)
362: (2.8, 536.6973795918036)
363: (0.0, 579.8244798788463)
364: (0.2142857142857144, 579.8244798788463)
365: (0.40000000000000036, 536.6973795918036)
366: (0.0, 579.8244798788463)
367: (0.40000000000000036, 536.6973795918036)
368: (0.20000000000000018, 536.6973795918036)
369: (0.0, 579.8244798788463)
370: (0.20000000000000018, 536.6973795918036)
371: (0.0, 536.6973795918036)
372: (0.23076923076923078, 627.7152560806874)
373: (0.46153846153846156, 627.7152560806874)
374: (0.6428571428571428, 579.8244798788463)
375: (0.23076923076923078, 627.7152560806874)
376: (0.6428571428571428, 579.8244798788463)
377: (0.42857142857142855, 579.8244798788463)
378: (0.46153846153846156, 627.7152560806874)
379: (0.6923076923076923, 627.7152560806874)
380: (0.8571428571428571, 579.8244798788463)
381: (0.46153846153846156, 627.7152560806874)
382: (0.8571428571428571, 579.8244798788463)
383: (0.6428571428571428, 579.8244798788463)
384: (0.6923076923076923, 627.7152560806874)
385: (0.9230769230769231, 627.7152560806874)
386: (1.0714285714285712, 579.8244798788463)
387: (0.6923076923076923, 627.7152560806874)
388: (1.0714285714285712, 579.8244798788463)
389: (0.8571428571428571, 579.8244798788463)
390: (0.9230769230769231, 627.7152560806874)
391: (1.153846153846154, 627.7152560806874)
392: (1.2857142857142856, 579.8244798788463)
393: (0.9230769230769231, 627.7152560806874)
394: (1.2857142857142856, 579.8244798788463)
395: (1.0714285714285712, 579.8244798788463)
396: (1.153846153846154, 627.7152560806874)
397: (1.3846153846153846, 627.7152560806874)
398: (1.5, 579.8244798788463)
399: (1.153846153846154, 627.7152560806874)
400: (1.5, 579.8244798788463)
401: (1.2857142857142856, 579.8244798788463)
402: (1.3846153846153846, 627.7152560806874)
403: (1.6153846153846156, 627.7152560806874)
404: (1.7142857142857142, 579.8244798788463)
405: (1.3846153846153846, 627.7152560806874)
406: (1.7142857142857142, 579.8244798788463)
407: (1.5, 579.8244798788463)
408: (1.6153846153846156, 627.7152560806874)
409: (1.8461538461538463, 627.7152560806874)
410: (1.9285714285714284, 579.8244798788463)
411: (1.6153846153846156, 627.7152560806874)
412: (1.9285714285714284, 579.8244798788463)
413: (1.7142857142857142, 579.8244798788463)
414: (1.8461538461538463, 627.7152560806874)
415: (2.0769230769230766, 627.7152560806874)
416: (2.1428571428571423, 579.8244798788463)
417: (1.8461538461538463, 627.7152560806874)
418: (2.1428571428571423, 579.8244798788463)
419: (1.9285714285714284, 579.8244798788463)
420: (2.0769230769230766, 627.7152560806874)
421: (2.307692307692308, 627.7152560806874)
422: (2.357142857142857, 579.8244798788463)
423: (2.0769230769230766, 627.7152560806874)
424: (2.357142857142857, 579.8244798788463)
425: (2.1428571428571423, 579.8244798788463)
426: (2.307692307692308, 627.7152560806874)
427: (2.5384615384615388, 627.7152560806874)
428: (2.571428571428571, 579.8244798788463)
429: (2.307692307692308, 627.7152560806874)
430: (2.571428571428571, 579.8244798788463)
431: (2.357142857142857, 579.8244798788463)
432: (2.5384615384615388, 627.7152560806874)
433: (2.769230769230769, 627.7152560806874)
434: (2.7857142857142856, 579.8244798788463)
435: (2.5384615384615388, 627.7152560806874)
436: (2.7857142857142856, 579.8244798788463)
437: (2.571428571428571, 579.8244798788463)
438: (2.769230769230769, 627.7152560806874)
439: (3.0, 627.7152560806874)
440: (3.0, 579.8244798788463)
441: (2.769230769230769, 627.7152560806874)
442: (3.0, 579.8244798788463)
443: (2.7857142857142856, 579.8244798788463)
444: (0.0, 627.7152560806874)
445: (0.23076923076923084, 627.7152560806874)
446: (0.4285714285714288, 579.8244798788463)
447: (0.0, 627.7152560806874)
448: (0.4285714285714288, 579.8244798788463)
449: (0.2142857142857144, 579.8244798788463)
450: (0.0, 627.7152560806874)
451: (0.2142857142857144, 579.8244798788463)
452: (0.0, 579.8244798788463)
453: (0.25, 681.4300493742021)
454: (0.5, 681.4300493742021)
455: (0.6923076923076923, 627.7152560806874)
456: (0.25, 681.4300493742021)
457: (0.6923076923076923, 627.7152560806874)
458: (0.46153846153846156, 627.7152560806874)
459: (0.5, 681.4300493742021)
460: (0.75, 681.4300493742021)
461: (0.9230769230769231, 627.7152560806874)
462: (0.5, 681.4300493742021)
463: (0.9230769230769231, 627.7152560806874)
464: (0.6923076923076923, 627.7152560806874)
465: (0.75, 681.4300493742021)
466: (1.0, 681.4300493742021)
467: (1.153846153846154, 627.7152560806874)
468: (0.75, 681.4300493742021)
469: (1.153846153846154, 627.7152560806874)
470: (0.9230769230769231, 627.7152560806874)
471: (1.0, 681.4300493742021)
472: (1.25, 681.4300493742021)
473: (1.3846153846153846, 627.7152560806874)
474: (1.0, 681.4300493742021)
475: (1.3846153846153846, 627.7152560806874)
476: (1.153846153846154, 627.7152560806874)
477: (1.25, 681.4300493742021)
478: (1.5, 681.4300493742021)
479: (1.6153846153846156, 627.7152560806874)
480: (1.25, 681.4300493742021)
481: (1.6153846153846156, 627.7152560806874)
482: (1.3846153846153846, 627.7152560806874)
483: (1.5, 681.4300493742021)
484: (1.7499999999999998, 681.4300493742021)
485: (1.8461538461538463, 627.7152560806874)
486: (1.5, 681.4300493742021)
487: (1.8461538461538463, 627.7152560806874)
488: (1.6153846153846156, 627.7152560806874)
489: (1.7499999999999998, 681.4300493742021)
490: (2.0, 681.4300493742021)
491: (2.0769230769230766, 627.7152560806874)
492: (1.7499999999999998, 681.4300493742021)
493: (2.0769230769230766, 627.7152560806874)
494: (1.8461538461538463, 627.7152560806874)
495: (2.0, 681.4300493742021)
496: (2.25, 681.4300493742021)
497: (2.307692307692308, 627.7152560806874)
498: (2.0, 681.4300493742021)
499: (2.307692307692308, 627.7152560806874)
500: (2.0769230769230766, 627.7152560806874)
501: (2.25, 681.4300493742021)
502: (2.5, 681.4300493742021)
503: (2.5384615384615388, 627.7152560806874)
504: (2.25, 681.4300493742021)
505: (2.5384615384615388, 627.7152560806874)
506: (2.307692307692308, 627.7152560806874)
507: (2.5, 681.4300493742021)
508: (2.75, 681.4300493742021)
509: (2.769230769230769, 627.7152560806874)
510: (2.5, 681.4300493742021)
511: (2.769230769230769, 627.7152560806874)
512: (2.5384615384615388, 627.7152560806874)
513: (2.75, 681.4300493742021)
