# UV coordinates (u, v)
736: (1.6666666666666667, 895.8858567594834)
737: (1.6666666666666667, 842.3055187288944)
738: (1.3333333333333333, 895.8858567594834)
739: (1.6666666666666667, 842.3055187288944)
740: (1.3333333333333333, 842.3055187288944)
741: (1.6666666666666667, 895.8858567594834)
742: (2.0, 895.8858567594834)
743: (2.0, 842.3055187288944)
744: (1.6666666666666667, 895.8858567594834)
745: (2.0, 842.3055187288944)
746: (1.6666666666666667, 842.3055187288944)
747: (2.0, 895.8858567594834)
748: (2.333333333333333, 895.8858567594834)
749: (2.333333333333333, 842.3055187288944)
750: (2.0, 895.8858567594834)
751: (2.333333333333333, 842.3055187288944)
752: (2.0, 842.3055187288944)
753: (2.333333333333333, 895.8858567594834)
754: (2.6666666666666665, 895.8858567594834)
755: (2.6666666666666665, 842.3055187288944)
756: (2.333333333333333, 895.8858567594834)
757: (2.6666666666666665, 842.3055187288944)
758: (2.333333333333333, 842.3055187288944)
759: (2.6666666666666665, 895.8858567594834)
760: (3.0, 895.8858567594834)
761: (3.0, 842.3055187288944)
762: (2.6666666666666665, 895.8858567594834)
763: (3.0, 842.3055187288944)
764: (2.6666666666666665, 842.3055187288944)
765: (0.0, 895.8858567594834)
766: (0.3333333333333335, 895.8858567594834)
767: (0.3333333333333335, 842.3055187288944)
768: (0.0, 895.8858567594834)
769: (0.3333333333333335, 842.3055187288944)
770: (0.0, 842.3055187288944)
771: (0.3333333333333333, 949.4661947900726)
772: (0.6666666666666666, 949.4661947900726)
773: (0.6666666666666666, 895.8858567594834)
774: (0.3333333333333333, 949.4661947900726)
775: (0.6666666666666666, 895.8858567594834)
776: (0.3333333333333333, 895.8858567594834)
777: (0.6666666666666666, 949.4661947900726)
778: (1.0, 949.4661947900726)
779: (1.0, 895.8858567594834)
780: (0.6666666666666666, 949.4661947900726)
781: (1.0, 895.8858567594834)
782: (0.6666666666666666, 895.8858567594834)
783: (1.0, 949.4661947900726)
784: (1.3333333333333333, 949.4661947900726)
785: (1.3333333333333333, 895.8858567594834)
786: (1.0, 949.4661947900726)
787: (1.3333333333333333, 895.8858567594834)
788: (1.0, 895.8858567594834)
789: (1.3333333333333333, 949.4661947900726)
790: (1.6666666666666667, 949.4661947900726)
791: (1.6666666666666667, 895.8858567594834)
792: (1.3333333333333333, 949.4661947900726)
793: (1.6666666666666667, 895.8858567594834)
794: (1.3333333333333333, 895.8858567594834)
795: (1.6666666666666667, 949.4661947900726)
796: (2.0, 949.4661947900726)
797: (2.0, 895.8858567594834)
798: (1.6666666666666667, 949.4661947900726)
799: (2.0, 895.8858567594834)
800: (1.6666666666666667, 895.8858567594834)
801: (2.0, 949.4661947900726)
802: (2.333333333333333, 949.4661947900726)
803: (2.333333333333333, 895.8858567594834)
804: (2.0, 949.4661947900726)
805: (2.333333333333333, 895.8858567594834)
806: (2.0, 895.8858567594834)
807: (2.333333333333333, 949.4661947900726)
808: (2.6666666666666665, 949.4661947900726)
809: (2.6666666666666665, 895.8858567594834)
810: (2.333333333333333, 949.4661947900726)
811: (2.6666666666666665, 895.8858567594834)
812: (2.333333333333333, 895.8858567594834)
813: (2.6666666666666665, 949.4661947900726)
814: (3.0, 949.4661947900726)
815: (3.0, 895.8858567594834)
816: (2.6666666666666665, 949.4661947900726)
817: (3.0, 895.8858567594834)
818: (2.6666666666666665, 895.8858567594834)
819: (0.0, 949.4661947900726)
820: (0.3333333333333335, 949.4661947900726)
821: (0.3333333333333335, 895.8858567594834)
822: (0.0, 949.4661947900726)
823: (0.3333333333333335, 895.8858567594834)
824: (0.0, 895.8858567594834)
825: (0.5, 1.5)
826: (1.0, 1.5)
827: (0.883022221559489, 2.4641814145298087)
828: (0.5, 1.5)
829: (0.883022221559489, 2.4641814145298087)
830: (0.5868240888334653, 2.977211629518312)
831: (0.5, 1.5)
832: (0.5868240888334653, 2.977211629518312)
833: (0.2500000000000001, 2.799038105676658)
834: (0.5, 1.5)
835: (0.2500000000000001, 2.799038105676658)
836: (0.03015368960704584, 2.013030214988503)
837: (0.5, 1.5)
838: (0.03015368960704584, 2.013030214988503)
839: (0.030153689607045786, 0.986969785011497)
840: (0.5, 1.5)
841: (0.030153689607045786, 0.986969785011497)
842: (0.24999999999999978, 0.20096189432334227)
843: (0.5, 1.5)
844: (0.24999999999999978, 0.20096189432334227)
845: (0.586824088833465, 0.022788370481687803)
846: (0.5, 1.5)
847: (0.586824088833465, 0.022788370481687803)
848: (0.883022221559489, 0.5358185854701907)
849: (0.5, 1.5)
850: (0.883022221559489, 0.5358185854701907)
851: (1.0, 1.5)
852: (0.5, 1.5)
853: (0.5, 1.5)
854: (0.5, 1.5)
855: (0.5, 1.5)
856: (0.5, 1.5)
857: (0.5, 1.5)
858: (0.5, 1.5)
859: (0.5, 1.5)
860: (0.5, 1.5)
861: (0.5, 1.5)
862: (0.5, 1.5)
863: (0.5, 1.5)
864: (0.25, 27.598569369741227)
865: (0.5, 27.598569369741227)
866: (0.5, 0.0)
867: (0.25, 27.598569369741227)
868: (0.5, 0.0)
869: (0.25, 0.0)
870: (0.5, 27.598569369741227)
871: (0.75, 27.598569369741227)
872: (0.75, 0.0)
873: (0.5, 27.598569369741227)
874: (0.75, 0.0)
875: (0.5, 0.0)
876: (0.75, 27.598569369741227)
877: (1.0, 27.598569369741227)
878: (1.0, 0.0)
879: (0.75, 27.598569369741227)
880: (1.0, 0.0)
881: (0.75, 0.0)
882: (1.0, 27.598569369741227)
883: (1.25, 27.598569369741227)
884: (1.25, 0.0)
885: (1.0, 27.598569369741227)
886: (1.25, 0.0)
887: (1.0, 0.0)
888: (1.25, 27.598569369741227)
889: (1.5, 27.598569369741227)
890: (1.5, 0.0)
891: (1.25, 27.598569369741227)
892: (1.5, 0.0)
893: (1.25, 0.0)
894: (1.5, 27.598569369741227)
895: (1.75, 27.598569369741227)
896: (1.75, 0.0)
897: (1.5, 27.598569369741227)
898: (1.75, 0.0)
899: (1.5, 0.0)
900: (1.75, 27.598569369741227)
901: (2.0, 27.598569369741227)
902: (2.0, 0.0)
903: (1.75, 27.598569369741227)
904: (2.0, 0.0)
905: (1.75, 0.0)
906: (0.0, 27.598569369741227)
907: (0.25, 27.598569369741227)
908: (0.25, 0.0)
909: (0.0, 27.598569369741227)
910: (0.25, 0.0)
911: (0.0, 0.0)
912: (0.25, 47.94056206186481)
913: (0.5, 47.94056206186481)
914: (0.5, 27.598569369741227)
915: (0.25, 47.94056206186481)
916: (0.5, 27.598569369741227)
917: (0.25, 27.598569369741227)
918: (0.5, 47.94056206186481)
919: (0.75, 47.94056206186481)
920: (0.75, 27.598569369741227)
921: (0.5, 47.94056206186481)
922: (0.75, 27.598569369741227)
923: (0.5, 27.598569369741227)
924: (0.75, 47.94056206186481)
925: (1.0, 47.94056206186481)
926: (1.0, 27.598569369741227)
927: (0.75, 47.94056206186481)
928: (1.0, 27.598569369741227)
929: (0.75, 27.598569369741227)
930: (1.0, 47.94056206186481)
931: (1.25, 47.94056206186481)
932: (1.25, 27.598569369741227)
933: (1.0, 47.94056206186481)
934: (1.25, 27.598569369741227)
935: (1.0, 27.598569369741227)
936: (1.25, 47.94056206186481)
937: (1.5, 47.94056206186481)
938: (1.5, 27.598569369741227)
939: (1.25, 47.94056206186481)
940: (1.5, 27.598569369741227)
941: (1.25, 27.598569369741227)
942: (1.5, 47.94056206186481)
943: (1.75, 47.94056206186481)
944: (1.75, 27.598569369741227)
945: (1.5, 47.94056206186481)
946: (1.75, 27.598569369741227)
947: (1.5, 27.598569369741227)
948: (1.75, 47.94056206186481)
949: (2.0, 47.94056206186481)
950: (2.0, 27.598569369741227)
951: (1.75, 47.94056206186481)
952: (2.0, 27.598569369741227)
953: (1.75, 27.598569369741227)
954: (0.0, 47.94056206186481)
955: (0.25, 47.94056206186481)
956: (0.25, 27.598569369741227)
957: (0.0, 47.94056206186481)
958: (0.25, 27.598569369741227)
959: (0.0, 27.598569369741227)
960: (0.25, 67.75195970981878)
961: (0.5, 67.75195970981878)
962: (0.5, 47.94056206186481)
963: (0.25, 67.75195970981878)
964: (0.5, 47.94056206186481)
965: (0.25, 47.94056206186481)
966: (0.5, 67.75195970981878)
967: (0.75, 67.75195970981878)
968: (0.75, 47.94056206186481)
969: (0.5, 67.75195970981878)
970: (0.75, 47.94056206186481)
971: (0.5, 47.94056206186481)
972: (0.75, 67.75195970981878)
973: (1.0, 67.75195970981878)
974: (1.0, 47.94056206186481)
975: (0.75, 67.75195970981878)
976: (1.0, 47.94056206186481)
977: (0.75, 47.94056206186481)
978: (1.0, 67.75195970981878)
979: (1.25, 67.75195970981878)
980: (1.25, 47.94056206186481)
981: (1.0, 67.75195970981878)
982: (1.25, 47.94056206186481)
983: (1.0, 47.94056206186481)
984: (1.25, 67.75195970981878)
985: (1.5, 67.75195970981878)
986: (1.5, 47.94056206186481)
987: (1.25, 67.75195970981878)
988: (1.5, 47.94056206186481)
989: (1.25, 47.94056206186481)
990: (1.5, 67.75195970981878)
991: (1.75, 67.75195970981878)
992: (1.75, 47.94056206186481)
993: (1.5, 67.75195970981878)
994: (1.75, 47.94056206186481)
995: (1.5, 47.94056206186481)
996: (1.75, 67.75195970981878)
997: (2.0, 67.75195970981878)
998: (2.0, 47.94056206186481)
999: (1.75, 67.75195970981878)
1000: (2.0, 47.94056206186481)
1001: (1.75, 47.94056206186481)
1002: (0.0, 67.75195970981878)
1003: (0.25, 67.75195970981878)
1004: (0.25, 47.94056206186481)
1005: (0.0, 67.75195970981878)
1006: (0.25, 47.94056206186481)
1007: (0.0, 47.94056206186481)
1008: (0.25, 107.42138578822266)
1009: (0.5, 107.42138578822266)
1010: (0.5, 67.75195970981878)
1011: (0.25, 107.42138578822266)
1012: (0.5, 67.75195970981878)
1013: (0.25, 67.75195970981878)
1014: (0.5, 107.42138578822266)
1015: (0.75, 107.42138578822266)
1016: (0.75, 67.75195970981878)
1017: (0.5, 107.42138578822266)
1018: (0.75, 67.75195970981878)
1019: (0.5, 67.75195970981878)
1020: (0.75, 107.42138578822266)
1021: (1.0, 107.42138578822266)
1022: (1.0, 67.75195970981878)
1023: (0.75, 107.42138578822266)
1024: (1.0, 67.75195970981878)
1025: (0.75, 67.75195970981878)
1026: (1.0, 107.42138578822266)
1027: (1.25, 107.42138578822266)
1028: (1.25, 67.75195970981878)
1029: (1.0, 107.42138578822266)
1030: (1.25, 67.75195970981878)
1031: (1.0, 67.75195970981878)
1032: (1.25, 107.42138578822266)
1033: (1.5, 107.42138578822266)
1034: (1.5, 67.75195970981878)
1035: (1.25, 107.42138578822266)
1036: (1.5, 67.75195970981878)
1037: (1.25, 67.75195970981878)
1038: (1.5, 107.42138578822266)
1039: (1.75, 107.42138578822266)
1040: (1.75, 67.75195970981878)
1041: (1.5, 107.42138578822266)
1042: (1.75, 67.75195970981878)
1043: (1.5, 67.75195970981878)
1044: (1.75, 107.42138578822266)
1045: (2.0, 107.42138578822266)
1046: (2.0, 67.75195970981878)
1047: (1.75, 107.42138578822266)
1048: (2.0, 67.75195970981878)
1049: (1.75, 67.75195970981878)
1050: (0.0, 107.42138578822266)
1051: (0.25, 107.42138578822266)
1052: (0.25, 67.75195970981878)
1053: (0.0, 107.42138578822266)
1054: (0.25, 67.75195970981878)
1055: (0.0, 67.75195970981878)
1056: (0.25, 147.26896537789136)
1057: (0.5, 147.26896537789136)
1058: (0.5, 107.42138578822266)
1059: (0.25, 147.26896537789136)
1060: (0.5, 107.42138578822266)
1061: (0.25, 107.42138578822266)
1062: (0.5, 147.26896537789136)
1063: (0.75, 147.26896537789136)
1064: (0.75, 107.42138578822266)
1065: (0.5, 147.26896537789136)
1066: (0.75, 107.42138578822266)
1067: (0.5, 107.42138578822266)
1068: (0.75, 147.26896537789136)
1069: (1.0, 147.26896537789136)
1070: (1.0, 107.42138578822266)
1071: (0.75, 147.26896537789136)
1072: (1.0, 107.42138578822266)
1073: (0.75, 107.42138578822266)
1074: (1.0, 147.26896537789136)
1075: (1.25, 147.26896537789136)
1076: (1.25, 107.42138578822266)
1077: (1.0, 147.26896537789136)
1078: (1.25, 107.42138578822266)
1079: (1.0, 107.42138578822266)
1080: (1.25, 147.26896537789136)
1081: (1.5, 147.26896537789136)
1082: (1.5, 107.42138578822266)
1083: (1.25, 147.26896537789136)
1084: (1.5, 107.42138578822266)
1085: (1.25, 107.42138578822266)
1086: (1.5, 147.26896537789136)
1087: (1.75, 147.26896537789136)
1088: (1.75, 107.42138578822266)
1089: (1.5, 147.26896537789136)
1090: (1.75, 107.42138578822266)
1091: (1.5, 107.42138578822266)
1092: (1.75, 147.26896537789136)
1093: (2.0, 147.26896537789136)
1094: (2.0, 107.42138578822266)
1095: (1.75, 147.26896537789136)
1096: (2.0, 107.42138578822266)
1097: (1.75, 107.42138578822266)
1098: (0.0, 147.26896537789136)
1099: (0.25, 147.26896537789136)
1100: (0.25, 107.42138578822266)
1101: (0.0, 147.26896537789136)
1102: (0.25, 107.42138578822266)
1103: (0.0, 107.42138578822266)
1104: (0.5, 1.5)
1105: (1.0, 1.5)
1106: (0.8535533905932737, 2.560660171779821)
1107: (0.5, 1.5)
1108: (0.8535533905932737, 2.560660171779821)
1109: (0.5, 3.0)
1110: (0.5, 1.5)
1111: (0.5, 3.0)
1112: (0.14644660940672627, 2.560660171779821)
1113: (0.5, 1.5)
1114: (0.14644660940672627, 2.560660171779821)
1115: (0.0, 1.5000000000000004)
1116: (0.5, 1.5)
1117: (0.0, 1.5000000000000004)
1118: (0.14644660940672616, 0.4393398282201788)
1119: (0.5, 1.5)
1120: (0.14644660940672616, 0.4393398282201788)
1121: (0.4999999999999999, 0.0)
1122: (0.5, 1.5)
1123: (0.4999999999999999, 0.0)
1124: (0.8535533905932737, 0.4393398282201785)
1125: (0.5, 1.5)
1126: (0.8535533905932737, 0.4393398282201785)
1127: (1.0, 1.5)
1128: (0.5, 1.5)
1129: (0.5, 1.5)
1130: (0.5, 1.5)
1131: (0.5, 1.5)
1132: (0.5, 1.5)
1133: (0.5, 1.5)
1134: (0.5, 1.5)
1135: (0.5, 1.5)
1136: (0.5, 1.5)
1137: (0.25, 8.97967217125786)
1138: (0.5, 8.97967217125786)
1139: (0.5, 0.0)
1140: (0.25, 8.97967217125786)
1141: (0.5, 0.0)
1142: (0.25, 0.0)
1143: (0.5, 8.97967217125786)
1144: (0.75, 8.97967217125786)
1145: (0.75, 0.0)
1146: (0.5, 8.97967217125786)
1147: (0.75, 0.0)
1148: (0.5, 0.0)
1149: (0.75, 8.97967217125786)
1150: (1.0, 8.97967217125786)
1151: (1.0, 0.0)
1152: (0.75, 8.97967217125786)
1153: (1.0, 0.0)
1154: (0.75, 0.0)
1155: (1.0, 8.97967217125786)
1156: (1.25, 8.97967217125786)
1157: (1.25, 0.0)
1158: (1.0, 8.97967217125786)
1159: (1.25, 0.0)
1160: (1.0, 0.0)
1161: (1.25, 8.97967217125786)
1162: (1.5, 8.97967217125786)
1163: (1.5, 0.0)
1164: (1.25, 8.97967217125786)
1165: (1.5, 0.0)
1166: (1.25, 0.0)
1167: (1.5, 8.97967217125786)
1168: (1.75, 8.97967217125786)
1169: (1.75, 0.0)
1170: (1.5, 8.97967217125786)
1171: (1.75, 0.0)
1172: (1.5, 0.0)
1173: (1.75, 8.97967217125786)
1174: (2.0, 8.97967217125786)
1175: (2.0, 0.0)
1176: (1.75, 8.97967217125786)
1177: (2.0, 0.0)
1178: (1.75, 0.0)
1179: (0.0, 8.97967217125786)
1180: (0.25, 8.97967217125786)
1181: (0.25, 0.0)
1182: (0.0, 8.97967217125786)
1183: (0.25, 0.0)
1184: (0.0, 0.0)
1185: (0.25, 19.43664036655453)
1186: (0.5, 19.43664036655453)
1187: (0.5, 8.97967217125786)
1188: (0.25, 19.43664036655453)
1189: (0.5, 8.97967217125786)
1190: (0.25, 8.97967217125786)
1191: (0.5, 19.43664036655453)
1192: (0.75, 19.43664036655453)
1193: (0.75, 8.97967217125786)
1194: (0.5, 19.43664036655453)
1195: (0.75, 8.97967217125786)
1196: (0.5, 8.97967217125786)
1197: (0.75, 19.43664036655453)
1198: (1.0, 19.43664036655453)
1199: (1.0, 8.97967217125786)
1200: (0.75, 19.43664036655453)
1201: (1.0, 8.97967217125786)
1202: (0.75, 8.97967217125786)
1203: (1.0, 19.43664036655453)
1204: (1.25, 19.43664036655453)
1205: (1.25, 8.97967217125786)
1206: (1.0, 19.43664036655453)
1207: (1.25, 8.97967217125786)
1208: (1.0, 8.97967217125786)
1209: (1.25, 19.43664036655453)
1210: (1.5, 19.43664036655453)
1211: (1.5, 8.97967217125786)
1212: (1.25, 19.43664036655453)
1213: (1.5, 8.97967217125786)
1214: (1.25, 8.97967217125786)
1215: (1.5, 19.43664036655453)
1216: (1.75, 19.43664036655453)
1217: (1.75, 8.97967217125786)
1218: (1.5, 19.43664036655453)
1219: (1.75, 8.97967217125786)
1220: (1.5, 8.97967217125786)
1221: (1.75, 19.43664036655453)
1222: (2.0, 19.43664036655453)
1223: (2.0, 8.97967217125786)
1224: (1.75, 19.43664036655453)
1225: (2.0, 8.97967217125786)
1226: (1.75, 8.97967217125786)
1227: (0.0, 19.43664036655453)
1228: (0.25, 19.43664036655453)
1229: (0.25, 8.97967217125786)
1230: (0.0, 19.43664036655453)
1231: (0.25, 8.97967217125786)
1232: (0.0, 8.97967217125786)
1233: (0.25, 39.20588394209901)
1234: (0.5, 39.20588394209901)
1235: (0.5, 19.43664036655453)
1236: (0.25, 39.20588394209901)
1237: (0.5, 19.43664036655453)
1238: (0.25, 19.43664036655453)
1239: (0.5, 39.20588394209901)
1240: (0.75, 39.20588394209901)
1241: (0.75, 19.43664036655453)
1242: (0.5, 39.20588394209901)
1243: (0.75, 19.43664036655453)
1244: (0.5, 19.43664036655453)
1245: (0.75, 39.20588394209901)
1246: (1.0, 39.20588394209901)
1247: (1.0, 19.43664036655453)
1248: (0.75, 39.20588394209901)
1249: (1.0, 19.43664036655453)
1250: (0.75, 19.43664036655453)
1251: (1.0, 39.20588394209901)
1252: (1.25, 39.20588394209901)
1253: (1.25, 19.43664036655453)
1254: (1.0, 39.20588394209901)
1255: (1.25, 19.43664036655453)
1256: (1.0, 19.43664036655453)
1257: (1.25, 39.20588394209901)
1258: (1.5, 39.20588394209901)
1259: (1.5, 19.43664036655453)
1260: (1.25, 39.20588394209901)
1261: (1.5, 19.43664036655453)
1262: (1.25, 19.43664036655453)
1263: (1.5, 39.20588394209901)
1264: (1.75, 39.20588394209901)
1265: (1.75, 19.43664036655453)
1266: (1.5, 39.20588394209901)
1267: (1.75, 19.43664036655453)
1268: (1.5, 19.43664036655453)
1269: (1.75, 39.20588394209901)
1270: (2.0, 39.20588394209901)
1271: (2.0, 19.43664036655453)
1272: (1.75, 39.20588394209901)
1273: (2.0, 19.43664036655453)
1274: (1.75, 19.43664036655453)
1275: (0.0, 39.20588394209901)
1276: (0.25, 39.20588394209901)
1277: (0.25, 19.43664036655453)
1278: (0.0, 39.20588394209901)
1279: (0.25, 19.43664036655453)
1280: (0.0, 19.43664036655453)
1281: (0.25, 78.80847490951962)
1282: (0.5, 78.80847490951962)
1283: (0.5, 39.20588394209901)
1284: (0.25, 78.80847490951962)
1285: (0.5, 39.20588394209901)
1286: (0.25, 39.20588394209901)
1287: (0.5, 78.80847490951962)
1288: (0.75, 78.80847490951962)
1289: (0.75, 39.20588394209901)
1290: (0.5, 78.80847490951962)
1291: (0.75, 39.20588394209901)
1292: (0.5, 39.20588394209901)
1293: (0.75, 78.80847490951962)
1294: (1.0, 78.80847490951962)
1295: (1.0, 39.20588394209901)
1296: (0.75, 78.80847490951962)
1297: (1.0, 39.20588394209901)
1298: (0.75, 39.20588394209901)
1299: (1.0, 78.80847490951962)
1300: (1.25, 78.80847490951962)
1301: (1.25, 39.20588394209901)
1302: (1.0, 78.80847490951962)
1303: (1.25, 39.20588394209901)
1304: (1.0, 39.20588394209901)
1305: (1.25, 78.80847490951962)
1306: (1.5, 78.80847490951962)
1307: (1.5, 39.20588394209901)
1308: (1.25, 78.80847490951962)
1309: (1.5, 39.20588394209901)
1310: (1.25, 39.20588394209901)
1311: (1.5, 78.80847490951962)
1312: (1.75, 78.80847490951962)
1313: (1.75, 39.20588394209901)
1314: (1.5, 78.80847490951962)
1315: (1.75, 39.20588394209901)
1316: (1.5, 39.20588394209901)
1317: (1.75, 78.80847490951962)
1318: (2.0, 78.80847490951962)
1319: (2.0, 39.20588394209901)
1320: (1.75, 78.80847490951962)
1321: (2.0, 39.20588394209901)
1322: (1.75, 39.20588394209901)
1323: (0.0, 78.80847490951962)
1324: (0.25, 78.80847490951962)
1325: (0.25, 39.20588394209901)
1326: (0.0, 78.80847490951962)
1327: (0.25, 39.20588394209901)
1328: (0.0, 39.20588394209901)
1329: (0.25, 118.65605449918846)
1330: (0.5, 118.65605449918846)
1331: (0.5, 78.80847490951962)
1332: (0.25, 118.65605449918846)
1333: (0.5, 78.80847490951962)
1334: (0.25, 78.80847490951962)
1335: (0.5, 118.65605449918846)
1336: (0.75, 118.65605449918846)
1337: (0.75, 78.80847490951962)
1338: (0.5, 118.65605449918846)
1339: (0.75, 78.80847490951962)
1340: (0.5, 78.80847490951962)
1341: (0.75, 118.65605449918846)
1342: (1.0, 118.65605449918846)
1343: (1.0, 78.80847490951962)
1344: (0.75, 118.65605449918846)
1345: (1.0, 78.80847490951962)
1346: (0.75, 78.80847490951962)
1347: (1.0, 118.65605449918846)
1348: (1.25, 118.65605449918846)
1349: (1.25, 78.80847490951962)
1350: (1.0, 118.65605449918846)
1351: (1.25, 78.80847490951962)
1352: (1.0, 78.80847490951962)
1353: (1.25, 118.65605449918846)
1354: (1.5, 118.65605449918846)
1355: (1.5, 78.80847490951962)
1356: (1.25, 118.65605449918846)
1357: (1.5, 78.80847490951962)
1358: (1.25, 78.80847490951962)
1359: (1.5, 118.65605449918846)
1360: (1.75, 118.65605449918846)
1361: (1.75, 78.80847490951962)
1362: (1.5, 118.65605449918846)
1363: (1.75, 78.80847490951962)
1364: (1.5, 78.80847490951962)
1365: (1.75, 118.65605449918846)
1366: (2.0, 118.65605449918846)
1367: (2.0, 78.80847490951962)
1368: (1.75, 118.65605449918846)
1369: (2.0, 78.80847490951962)
1370: (1.75, 78.80847490951962)
1371: (0.0, 118.65605449918846)
1372: (0.25, 118.65605449918846)
1373: (0.25, 78.80847490951962)
1374: (0.0, 118.65605449918846)
1375: (0.25, 78.80847490951962)
1376: (0.0, 78.80847490951962)
1377: (0.5, 1.5)
1378: (1.0, 1.5)
1379: (0.8535533905932737, 2.560660171779821)
1380: (0.5, 1.5)
1381: (0.8535533905932737, 2.560660171779821)
1382: (0.5, 3.0)
1383: (0.5, 1.5)
1384: (0.5, 3.0)
1385: (0.14644660940672627, 2.560660171779821)
1386: (0.5, 1.5)
1387: (0.14644660940672627, 2.560660171779821)
1388: (0.0, 1.5000000000000004)
1389: (0.5, 1.5)
1390: (0.0, 1.5000000000000004)
1391: (0.14644660940672616, 0.4393398282201788)
1392: (0.5, 1.5)
1393: (0.14644660940672616, 0.4393398282201788)
1394: (0.4999999999999999, 0.0)
1395: (0.5, 1.5)
1396: (0.4999999999999999, 0.0)
1397: (0.8535533905932737, 0.4393398282201785)
1398: (0.5, 1.5)
1399: (0.8535533905932737, 0.4393398282201785)
1400: (1.0, 1.5)
1401: (0.5, 1.5)
1402: (0.5, 1.5)
1403: (0.5, 1.5)
1404: (0.5, 1.5)
1405: (0.5, 1.5)
1406: (0.5, 1.5)
1407: (0.5, 1.5)
1408: (0.5, 1.5)
1409: (0.5, 1.5)
1410: (0.25, 9.45169258795147)
1411: (0.5, 9.45169258795147)
1412: (0.5, 0.0)
1413: (0.25, 9.45169258795147)
1414: (0.5, 0.0)
1415: (0.25, 0.0)
1416: (0.5, 9.45169258795147)
1417: (0.75, 9.45169258795147)
1418: (0.75, 0.0)
1419: (0.5, 9.45169258795147)
1420: (0.75, 0.0)
1421: (0.5, 0.0)
1422: (0.75, 9.45169258795147)
1423: (1.0, 9.45169258795147)
1424: (1.0, 0.0)
1425: (0.75, 9.45169258795147)
1426: (1.0, 0.0)
1427: (0.75, 0.0)
1428: (1.0, 9.45169258795147)
1429: (1.25, 9.45169258795147)
1430: (1.25, 0.0)
1431: (1.0, 9.45169258795147)
1432: (1.25, 0.0)
1433: (1.0, 0.0)
1434: (1.25, 9.45169258795147)
1435: (1.5, 9.45169258795147)
1436: (1.5, 0.0)
1437: (1.25, 9.45169258795147)
1438: (1.5, 0.0)
1439: (1.25, 0.0)
1440: (1.5, 9.45169258795147)
1441: (1.75, 9.45169258795147)
1442: (1.75, 0.0)
1443: (1.5, 9.45169258795147)
1444: (1.75, 0.0)
1445: (1.5, 0.0)
1446: (1.75, 9.45169258795147)
1447: (2.0, 9.45169258795147)
1448: (2.0, 0.0)
1449: (1.75, 9.45169258795147)
1450: (2.0, 0.0)
1451: (1.75, 0.0)
1452: (0.0, 9.45169258795147)
1453: (0.25, 9.45169258795147)
1454: (0.25, 0.0)
1455: (0.0, 9.45169258795147)
1456: (0.25, 0.0)
1457: (0.0, 0.0)
1458: (0.25, 20.04139895315362)
1459: (0.5, 20.04139895315362)
1460: (0.5, 9.45169258795147)
1461: (0.25, 20.04139895315362)
1462: (0.5, 9.45169258795147)
1463: (0.25, 9.45169258795147)
1464: (0.5, 20.04139895315362)
1465: (0.75, 20.04139895315362)
1466: (0.75, 9.45169258795147)
1467: (0.5, 20.04139895315362)
1468: (0.75, 9.45169258795147)
1469: (0.5, 9.45169258795147)
1470: (0.75, 20.04139895315362)
1471: (1.0, 20.04139895315362)
1472: (1.0, 9.45169258795147)
1473: (0.75, 20.04139895315362)
1474: (1.0, 9.45169258795147)
1475: (0.75, 9.45169258795147)
1476: (1.0, 20.04139895315362)
1477: (1.25, 20.04139895315362)
1478: (1.25, 9.45169258795147)
1479: (1.0, 20.04139895315362)
1480: (1.25, 9.45169258795147)
1481: (1.0, 9.45169258795147)
1482: (1.25, 20.04139895315362)
1483: (1.5, 20.04139895315362)
1484: (1.5, 9.45169258795147)
1485: (1.25, 20.04139895315362)
1486: (1.5, 9.45169258795147)
1487: (1.25, 9.45169258795147)
1488: (1.5, 20.04139895315362)
1489: (1.75, 20.04139895315362)
1490: (1.75, 9.45169258795147)
1491: (1.5, 20.04139895315362)
1492: (1.75, 9.45169258795147)
1493: (1.5, 9.45169258795147)
1494: (1.75, 20.04139895315362)
1495: (2.0, 20.04139895315362)
1496: (2.0, 9.45169258795147)
1497: (1.75, 20.04139895315362)
1498: (2.0, 9.45169258795147)
1499: (1.75, 9.45169258795147)
1500: (0.0, 20.04139895315362)
1501: (0.25, 20.04139895315362)
1502: (0.25, 9.45169258795147)
1503: (0.0, 20.04139895315362)
1504: (0.25, 9.45169258795147)
1505: (0.0, 9.45169258795147)
1506: (0.25, 39.89258840315969)
1507: (0.5, 39.89258840315969)
1508: (0.5, 20.04139895315362)
1509: (0.25, 39.89258840315969)
1510: (0.5, 20.04139895315362)
1511: (0.25, 20.04139895315362)
1512: (0.5, 39.89258840315969)
1513: (0.75, 39.89258840315969)
1514: (0.75, 20.04139895315362)
1515: (0.5, 39.89258840315969)
1516: (0.75, 20.04139895315362)
1517: (0.5, 20.04139895315362)
1518: (0.75, 39.89258840315969)
1519: (1.0, 39.89258840315969)
1520: (1.0, 20.04139895315362)
1521: (0.75, 39.89258840315969)
1522: (1.0, 20.04139895315362)
1523: (0.75, 20.04139895315362)
1524: (1.0, 39.89258840315969)
1525: (1.25, 39.89258840315969)
1526: (1.25, 20.04139895315362)
1527: (1.0, 39.89258840315969)
1528: (1.25, 20.04139895315362)
1529: (1.0, 20.04139895315362)
1530: (1.25, 39.89258840315969)
1531: (1.5, 39.89258840315969)
