# Root UV coordinates (u, v)
729: (4.440892098500626e-16, 49.95183289722506)
730: (0.6000000000000001, 49.95183289722506)
731: (0.0, 54.72648118998191)
732: (1.5, 54.72648118998191)
733: (2.25, 54.72648118998191)
734: (2.0, 59.50112948273876)
735: (1.0, 59.50112948273876)
736: (2.25, 54.72648118998191)
737: (3.0, 54.72648118998191)
738: (3.0, 59.50112948273876)
739: (2.0, 59.50112948273876)
740: (0.75, 54.72648118998191)
741: (1.5, 54.72648118998191)
742: (1.0, 59.50112948273876)
743: (0.0, 59.50112948273876)
744: (0.0, 54.72648118998191)
745: (0.75, 54.72648118998191)
746: (0.0, 59.50112948273876)
747: (1.0, 59.50112948273876)
748: (2.0, 59.50112948273876)
749: (2.0, 64.27577777549564)
750: (1.0, 64.27577777549564)
751: (2.0, 59.50112948273876)
752: (3.0, 59.50112948273876)
753: (3.0, 64.27577777549564)
754: (2.0, 64.27577777549564)
755: (0.0, 59.50112948273876)
756: (1.0, 59.50112948273876)
757: (1.0, 64.27577777549564)
758: (0.0, 64.27577777549564)
759: (1.0, 64.27577777549564)
760: (2.0, 64.27577777549564)
761: (2.0, 69.05042606825249)
762: (1.0, 69.05042606825249)
763: (2.0, 64.27577777549564)
764: (3.0, 64.27577777549564)
765: (3.0, 69.05042606825249)
766: (2.0, 69.05042606825249)
767: (0.0, 64.27577777549564)
768: (1.0, 64.27577777549564)
769: (1.0, 69.05042606825249)
770: (0.0, 69.05042606825249)
771: (1.0, 69.05042606825249)
772: (2.0, 69.05042606825249)
773: (2.0, 73.82507436100936)
774: (1.0, 73.82507436100936)
775: (2.0, 69.05042606825249)
776: (3.0, 69.05042606825249)
777: (3.0, 73.82507436100936)
778: (2.0, 73.82507436100936)
779: (0.0, 69.05042606825249)
780: (1.0, 69.05042606825249)
781: (1.0, 73.82507436100936)
782: (0.0, 73.82507436100936)
783: (0.2500000000000001, 0.9330127018922194)
784: (1.0, 0.5)
785: (0.5, 0.5)
786: (0.24999999999999978, 0.06698729810778076)
787: (0.2500000000000001, 0.9330127018922194)
788: (0.5, 0.5)
789: (1.0, 0.5)
790: (0.24999999999999978, 0.06698729810778076)
791: (0.5, 0.5)
792: (0.5, 0.5)
793: (0.5, 0.5)
794: (0.5, 0.5)
795: (0.5, 0.5)
796: (0.5, 0.5)
797: (0.5, 0.5)
798: (0.5, 0.5)
799: (0.5, 0.5)
800: (0.5, 0.5)
801: (0.5, 0.5)
802: (0.5, 0.5)
803: (0.5, 0.5)
804: (0.5, 0.5)
805: (0.5, 0.5)
806: (0.5, 0.5)
807: (0.5, 0.5)
808: (0.5, 0.5)
809: (0.5, 0.5)
810: (0.3333333333333333, 0.0)
811: (0.6666666666666666, 0.0)
812: (0.6666666666666666, 0.7337194789739161)
813: (0.3333333333333333, 0.7337194789739161)
814: (0.6666666666666666, 0.0)
815: (1.0, 0.0)
816: (1.0, 0.7337194789739161)
817: (0.6666666666666666, 0.7337194789739161)
818: (-1.1102230246251565e-16, 0.0)
819: (0.33333333333333326, 0.0)
820: (0.33333333333333326, 0.7337194789739161)
821: (-1.1102230246251565e-16, 0.7337194789739161)
822: (0.3333333333333333, 0.7337194789739161)
823: (0.6666666666666666, 0.7337194789739161)
824: (0.6666666666666666, 1.2471503693128145)
825: (0.3333333333333333, 1.2471503693128145)
826: (0.6666666666666666, 0.7337194789739161)
827: (1.0, 0.7337194789739161)
828: (1.0, 1.2471503693128145)
829: (0.6666666666666666, 1.2471503693128145)
830: (-1.1102230246251565e-16, 0.7337194789739161)
831: (0.33333333333333326, 0.7337194789739161)
832: (0.33333333333333326, 1.2471503693128145)
833: (-1.1102230246251565e-16, 1.2471503693128145)
834: (0.3333333333333333, 1.2471503693128145)
835: (0.6666666666666666, 1.2471503693128145)
836: (0.6666666666666666, 2.039858765025243)
837: (0.3333333333333333, 2.039858765025243)
838: (0.6666666666666666, 1.2471503693128145)
839: (1.0, 1.2471503693128145)
840: (1.0, 2.039858765025243)
841: (0.6666666666666666, 2.039858765025243)
842: (-1.1102230246251565e-16, 1.2471503693128145)
843: (0.33333333333333326, 1.2471503693128145)
844: (0.33333333333333326, 2.039858765025243)
845: (-1.1102230246251565e-16, 2.039858765025243)
846: (0.3333333333333333, 2.039858765025243)
847: (0.6666666666666666, 2.039858765025243)
848: (0.6666666666666666, 3.6314081959442)
849: (0.3333333333333333, 3.6314081959442)
850: (0.6666666666666666, 2.039858765025243)
851: (1.0, 2.039858765025243)
852: (1.0, 3.6314081959442)
853: (0.6666666666666666, 3.6314081959442)
854: (-1.1102230246251565e-16, 2.039858765025243)
855: (0.33333333333333326, 2.039858765025243)
856: (0.33333333333333326, 3.6314081959442)
857: (-1.1102230246251565e-16, 3.6314081959442)
858: (0.2500000000000001, 0.9330127018922194)
859: (1.0, 0.5)
860: (0.5, 0.5)
861: (0.24999999999999978, 0.06698729810778076)
862: (0.2500000000000001, 0.9330127018922194)
863: (0.5, 0.5)
864: (1.0, 0.5)
865: (0.24999999999999978, 0.06698729810778076)
866: (0.5, 0.5)
867: (0.5, 0.5)
868: (0.5, 0.5)
869: (0.5, 0.5)
870: (0.5, 0.5)
871: (0.5, 0.5)
872: (0.5, 0.5)
873: (0.3333333333333333, 0.0)
874: (0.6666666666666666, 0.0)
875: (0.6666666666666666, 0.6479264480672607)
876: (0.3333333333333333, 0.6479264480672607)
877: (0.6666666666666666, 0.0)
878: (1.0, 0.0)
879: (1.0, 0.6479264480672607)
880: (0.6666666666666666, 0.6479264480672607)
881: (-1.1102230246251565e-16, 0.0)
882: (0.33333333333333326, 0.0)
883: (0.33333333333333326, 0.6479264480672607)
884: (-1.1102230246251565e-16, 0.6479264480672607)
885: (0.3333333333333333, 0.6479264480672607)
886: (0.6666666666666666, 0.6479264480672607)
887: (0.6666666666666666, 1.1106146888780486)
888: (0.3333333333333333, 1.1106146888780486)
889: (0.6666666666666666, 0.6479264480672607)
890: (1.0, 0.6479264480672607)
891: (1.0, 1.1106146888780486)
892: (0.6666666666666666, 1.1106146888780486)
893: (-1.1102230246251565e-16, 0.6479264480672607)
894: (0.33333333333333326, 0.6479264480672607)
895: (0.33333333333333326, 1.1106146888780486)
896: (-1.1102230246251565e-16, 1.1106146888780486)
897: (0.3333333333333333, 1.1106146888780486)
898: (0.6666666666666666, 1.1106146888780486)
899: (0.6666666666666666, 1.9054526628907897)
900: (0.3333333333333333, 1.9054526628907897)
901: (0.6666666666666666, 1.1106146888780486)
902: (1.0, 1.1106146888780486)
903: (1.0, 1.9054526628907897)
904: (0.6666666666666666, 1.9054526628907897)
905: (-1.1102230246251565e-16, 1.1106146888780486)
906: (0.33333333333333326, 1.1106146888780486)
907: (0.33333333333333326, 1.9054526628907897)
908: (-1.1102230246251565e-16, 1.9054526628907897)
909: (0.3333333333333333, 1.9054526628907897)
910: (0.6666666666666666, 1.9054526628907897)
911: (0.6666666666666666, 3.497002093809737)
912: (0.3333333333333333, 3.497002093809737)
913: (0.6666666666666666, 1.9054526628907897)
914: (1.0, 1.9054526628907897)
915: (1.0, 3.497002093809737)
916: (0.6666666666666666, 3.497002093809737)
917: (-1.1102230246251565e-16, 1.9054526628907897)
918: (0.33333333333333326, 1.9054526628907897)
919: (0.33333333333333326, 3.497002093809737)
920: (-1.1102230246251565e-16, 3.497002093809737)
921: (0.3333333333333333, 3.497002093809737)
922: (0.6666666666666666, 3.497002093809737)
923: (0.6666666666666666, 5.088551524728688)
924: (0.3333333333333333, 5.088551524728688)
925: (0.6666666666666666, 3.497002093809737)
926: (1.0, 3.497002093809737)
927: (1.0, 5.088551524728688)
928: (0.6666666666666666, 5.088551524728688)
929: (-1.1102230246251565e-16, 3.497002093809737)
930: (0.33333333333333326, 3.497002093809737)
931: (0.33333333333333326, 5.088551524728688)
932: (-1.1102230246251565e-16, 5.088551524728688)
933: (0.3333333333333333, 5.088551524728688)
934: (0.6666666666666666, 5.088551524728688)
935: (0.6666666666666666, 6.680100955647638)
936: (0.3333333333333333, 6.680100955647638)
937: (0.6666666666666666, 5.088551524728688)
938: (1.0, 5.088551524728688)
939: (1.0, 6.680100955647638)
940: (0.6666666666666666, 6.680100955647638)
941: (-1.1102230246251565e-16, 5.088551524728688)
942: (0.33333333333333326, 5.088551524728688)
943: (0.33333333333333326, 6.680100955647638)
944: (-1.1102230246251565e-16, 6.680100955647638)
945: (0.2500000000000001, 0.9330127018922194)
946: (1.0, 0.5)
947: (0.5, 0.5)
948: (0.24999999999999978, 0.06698729810778076)
949: (0.2500000000000001, 0.9330127018922194)
950: (0.5, 0.5)
951: (1.0, 0.5)
952: (0.24999999999999978, 0.06698729810778076)
953: (0.5, 0.5)
954: (0.5, 0.5)
955: (0.5, 0.5)
956: (0.5, 0.5)
957: (0.5, 0.5)
958: (0.5, 0.5)
959: (0.5, 0.5)
960: (0.5, 0.5)
961: (0.5, 0.5)
962: (0.5, 0.5)
963: (0.3333333333333333, 0.0)
964: (0.6666666666666666, 0.0)
965: (0.6666666666666666, 0.6560836270954322)
966: (0.3333333333333333, 0.6560836270954322)
967: (0.6666666666666666, 0.0)
968: (1.0, 0.0)
969: (1.0, 0.6560836270954322)
970: (0.6666666666666666, 0.6560836270954322)
971: (-1.1102230246251565e-16, 0.0)
972: (0.33333333333333326, 0.0)
973: (0.33333333333333326, 0.6560836270954322)
974: (-1.1102230246251565e-16, 0.6560836270954322)
975: (0.3333333333333333, 0.6560836270954322)
976: (0.6666666666666666, 0.6560836270954322)
977: (0.6666666666666666, 1.2666946988942238)
978: (0.3333333333333333, 1.2666946988942238)
979: (0.6666666666666666, 0.6560836270954322)
980: (1.0, 0.6560836270954322)
981: (1.0, 1.2666946988942238)
982: (0.6666666666666666, 1.2666946988942238)
983: (-1.1102230246251565e-16, 0.6560836270954322)
984: (0.33333333333333326, 0.6560836270954322)
985: (0.33333333333333326, 1.2666946988942238)
986: (-1.1102230246251565e-16, 1.2666946988942238)
987: (0.3333333333333333, 1.2666946988942238)
988: (0.6666666666666666, 1.2666946988942238)
989: (0.6666666666666666, 1.9775039547832147)
990: (0.3333333333333333, 1.9775039547832147)
991: (0.6666666666666666, 1.2666946988942238)
992: (1.0, 1.2666946988942238)
993: (1.0, 1.9775039547832147)
994: (0.6666666666666666, 1.9775039547832147)
995: (-1.1102230246251565e-16, 1.2666946988942238)
996: (0.33333333333333326, 1.2666946988942238)
997: (0.33333333333333326, 1.9775039547832147)
998: (-1.1102230246251565e-16, 1.9775039547832147)
999: (0.3333333333333333, 1.9775039547832147)
1000: (0.6666666666666666, 1.9775039547832147)
1001: (0.6666666666666666, 3.569053385702167)
1002: (0.3333333333333333, 3.569053385702167)
1003: (0.6666666666666666, 1.9775039547832147)
1004: (1.0, 1.9775039547832147)
1005: (1.0, 3.569053385702167)
1006: (0.6666666666666666, 3.569053385702167)
1007: (-1.1102230246251565e-16, 1.9775039547832147)
1008: (0.33333333333333326, 1.9775039547832147)
1009: (0.33333333333333326, 3.569053385702167)
1010: (-1.1102230246251565e-16, 3.569053385702167)
1011: (0.2500000000000001, 0.9330127018922194)
1012: (1.0, 0.5)
1013: (0.5, 0.5)
1014: (0.24999999999999978, 0.06698729810778076)
1015: (0.2500000000000001, 0.9330127018922194)
1016: (0.5, 0.5)
1017: (1.0, 0.5)
1018: (0.24999999999999978, 0.06698729810778076)
1019: (0.5, 0.5)
1020: (0.5, 0.5)
1021: (0.5, 0.5)
1022: (0.5, 0.5)
1023: (0.5, 0.5)
1024: (0.5, 0.5)
1025: (0.5, 0.5)
1026: (0.3333333333333333, 0.0)
1027: (0.6666666666666666, 0.0)
1028: (0.6666666666666666, 0.6784684109159705)
1029: (0.3333333333333333, 0.6784684109159705)
1030: (0.6666666666666666, 0.0)
1031: (1.0, 0.0)
1032: (1.0, 0.6784684109159705)
1033: (0.6666666666666666, 0.6784684109159705)
1034: (-1.1102230246251565e-16, 0.0)
1035: (0.33333333333333326, 0.0)
1036: (0.33333333333333326, 0.6784684109159705)
1037: (-1.1102230246251565e-16, 0.6784684109159705)
1038: (0.3333333333333333, 0.6784684109159705)
1039: (0.6666666666666666, 0.6784684109159705)
1040: (0.6666666666666666, 1.2498501236463788)
1041: (0.3333333333333333, 1.2498501236463788)
1042: (0.6666666666666666, 0.6784684109159705)
1043: (1.0, 0.6784684109159705)
1044: (1.0, 1.2498501236463788)
1045: (0.6666666666666666, 1.2498501236463788)
1046: (-1.1102230246251565e-16, 0.6784684109159705)
1047: (0.33333333333333326, 0.6784684109159705)
1048: (0.33333333333333326, 1.2498501236463788)
1049: (-1.1102230246251565e-16, 1.2498501236463788)
1050: (0.3333333333333333, 1.2498501236463788)
1051: (0.6666666666666666, 1.2498501236463788)
1052: (0.6666666666666666, 2.0047385625247336)
1053: (0.3333333333333333, 2.0047385625247336)
1054: (0.6666666666666666, 1.2498501236463788)
1055: (1.0, 1.2498501236463788)
1056: (1.0, 2.0047385625247336)
1057: (0.6666666666666666, 2.0047385625247336)
1058: (-1.1102230246251565e-16, 1.2498501236463788)
1059: (0.33333333333333326, 1.2498501236463788)
1060: (0.33333333333333326, 2.0047385625247336)
1061: (-1.1102230246251565e-16, 2.0047385625247336)
1062: (0.3333333333333333, 2.0047385625247336)
1063: (0.6666666666666666, 2.0047385625247336)
1064: (0.6666666666666666, 3.5962879934436938)
1065: (0.3333333333333333, 3.5962879934436938)
1066: (0.6666666666666666, 2.0047385625247336)
1067: (1.0, 2.0047385625247336)
1068: (1.0, 3.5962879934436938)
1069: (0.6666666666666666, 3.5962879934436938)
1070: (-1.1102230246251565e-16, 2.0047385625247336)
1071: (0.33333333333333326, 2.0047385625247336)
1072: (0.33333333333333326, 3.5962879934436938)
1073: (-1.1102230246251565e-16, 3.5962879934436938)
1074: (0.2500000000000001, 0.9330127018922194)
1075: (1.0, 0.5)
1076: (0.5, 0.5)
1077: (0.24999999999999978, 0.06698729810778076)
1078: (0.2500000000000001, 0.9330127018922194)
1079: (0.5, 0.5)
1080: (1.0, 0.5)
1081: (0.24999999999999978, 0.06698729810778076)
1082: (0.5, 0.5)
1083: (0.5, 0.5)
1084: (0.5, 0.5)
1085: (0.5, 0.5)
1086: (0.5, 0.5)
1087: (0.5, 0.5)
1088: (0.5, 0.5)
1089: (0.3333333333333333, 0.0)
1090: (0.6666666666666666, 0.0)
1091: (0.6666666666666666, 0.6167972888669832)
1092: (0.3333333333333333, 0.6167972888669832)
1093: (0.6666666666666666, 0.0)
1094: (1.0, 0.0)
1095: (1.0, 0.6167972888669832)
1096: (0.6666666666666666, 0.6167972888669832)
1097: (-1.1102230246251565e-16, 0.0)
1098: (0.33333333333333326, 0.0)
1099: (0.33333333333333326, 0.6167972888669832)
1100: (-1.1102230246251565e-16, 0.6167972888669832)
1101: (0.3333333333333333, 0.6167972888669832)
1102: (0.6666666666666666, 0.6167972888669832)
1103: (0.6666666666666666, 1.3217364492090207)
1104: (0.3333333333333333, 1.3217364492090207)
1105: (0.6666666666666666, 0.6167972888669832)
1106: (1.0, 0.6167972888669832)
1107: (1.0, 1.3217364492090207)
1108: (0.6666666666666666, 1.3217364492090207)
1109: (-1.1102230246251565e-16, 0.6167972888669832)
1110: (0.33333333333333326, 0.6167972888669832)
1111: (0.33333333333333326, 1.3217364492090207)
1112: (-1.1102230246251565e-16, 1.3217364492090207)
1113: (0.3333333333333333, 1.3217364492090207)
1114: (0.6666666666666666, 1.3217364492090207)
1115: (0.6666666666666666, 1.9404163278656195)
1116: (0.3333333333333333, 1.9404163278656195)
1117: (0.6666666666666666, 1.3217364492090207)
1118: (1.0, 1.3217364492090207)
1119: (1.0, 1.9404163278656195)
1120: (0.6666666666666666, 1.9404163278656195)
1121: (-1.1102230246251565e-16, 1.3217364492090207)
1122: (0.33333333333333326, 1.3217364492090207)
1123: (0.33333333333333326, 1.9404163278656195)
1124: (-1.1102230246251565e-16, 1.9404163278656195)
1125: (0.3333333333333333, 1.9404163278656195)
1126: (0.6666666666666666, 1.9404163278656195)
1127: (0.6666666666666666, 3.5319657587845685)
1128: (0.3333333333333333, 3.5319657587845685)
1129: (0.6666666666666666, 1.9404163278656195)
1130: (1.0, 1.9404163278656195)
1131: (1.0, 3.5319657587845685)
1132: (0.6666666666666666, 3.5319657587845685)
1133: (-1.1102230246251565e-16, 1.9404163278656195)
1134: (0.33333333333333326, 1.9404163278656195)
1135: (0.33333333333333326, 3.5319657587845685)
1136: (-1.1102230246251565e-16, 3.5319657587845685)
1137: (0.2500000000000001, 0.9330127018922194)
1138: (1.0, 0.5)
1139: (0.5, 0.5)
1140: (0.24999999999999978, 0.06698729810778076)
1141: (0.2500000000000001, 0.9330127018922194)
1142: (0.5, 0.5)
1143: (1.0, 0.5)
1144: (0.24999999999999978, 0.06698729810778076)
1145: (0.5, 0.5)
1146: (0.5, 0.5)
1147: (0.5, 0.5)
1148: (0.5, 0.5)
1149: (0.5, 0.5)
1150: (0.5, 0.5)
1151: (0.5, 0.5)
1152: (0.5, 0.0)
1153: (0.75, 0.0)
1154: (0.5454545454545454, 25.493144872750673)
1155: (0.2727272727272727, 25.493144872750673)
1156: (0.75, 0.0)
1157: (1.0, 0.0)
1158: (0.8181818181818181, 25.493144872750673)
1159: (0.5454545454545454, 25.493144872750673)
1160: (1.0, 0.0)
1161: (1.25, 0.0)
1162: (1.0909090909090908, 25.493144872750673)
1163: (0.8181818181818181, 25.493144872750673)
1164: (1.25, 0.0)
1165: (1.5, 0.0)
1166: (1.3636363636363638, 25.493144872750673)
1167: (1.0909090909090908, 25.493144872750673)
1168: (1.5, 0.0)
1169: (1.7499999999999998, 0.0)
1170: (1.6363636363636362, 25.493144872750673)
1171: (1.3636363636363638, 25.493144872750673)
1172: (1.7499999999999998, 0.0)
1173: (2.0, 0.0)
1174: (1.9090909090909092, 25.493144872750673)
1175: (1.6363636363636362, 25.493144872750673)
1176: (2.0, 0.0)
1177: (2.25, 0.0)
1178: (2.1818181818181817, 25.493144872750673)
1179: (1.9090909090909092, 25.493144872750673)
1180: (2.25, 0.0)
1181: (2.5, 0.0)
1182: (2.4545454545454546, 25.493144872750673)
1183: (2.1818181818181817, 25.493144872750673)
1184: (2.5, 0.0)
1185: (2.75, 0.0)
1186: (2.7272727272727275, 25.493144872750673)
1187: (2.4545454545454546, 25.493144872750673)
1188: (2.75, 0.0)
1189: (3.0, 0.0)
1190: (3.0, 25.493144872750673)
1191: (2.7272727272727275, 25.493144872750673)
1192: (0.25, 0.0)
1193: (0.5, 0.0)
1194: (0.2727272727272725, 25.493144872750673)
1195: (0.0, 25.493144872750673)
1196: (0.0, 0.0)
1197: (0.25, 0.0)
1198: (0.0, 25.493144872750673)
1199: (0.5454545454545454, 25.493144872750673)
1200: (0.8181818181818181, 25.493144872750673)
1201: (0.6000000000000001, 30.32194237812719)
1202: (0.30000000000000004, 30.32194237812719)
1203: (0.8181818181818181, 25.493144872750673)
1204: (1.0909090909090908, 25.493144872750673)
1205: (0.9000000000000001, 30.32194237812719)
1206: (0.6000000000000001, 30.32194237812719)
1207: (1.0909090909090908, 25.493144872750673)
1208: (1.3636363636363638, 25.493144872750673)
1209: (1.2000000000000002, 30.32194237812719)
1210: (0.9000000000000001, 30.32194237812719)
1211: (1.3636363636363638, 25.493144872750673)
1212: (1.6363636363636362, 25.493144872750673)
1213: (1.5, 30.32194237812719)
1214: (1.2000000000000002, 30.32194237812719)
1215: (1.6363636363636362, 25.493144872750673)
1216: (1.9090909090909092, 25.493144872750673)
1217: (1.8000000000000003, 30.32194237812719)
1218: (1.5, 30.32194237812719)
1219: (1.9090909090909092, 25.493144872750673)
1220: (2.1818181818181817, 25.493144872750673)
1221: (2.1, 30.32194237812719)
1222: (1.8000000000000003, 30.32194237812719)
1223: (2.1818181818181817, 25.493144872750673)
1224: (2.4545454545454546, 25.493144872750673)
1225: (2.4000000000000004, 30.32194237812719)
1226: (2.1, 30.32194237812719)
1227: (2.4545454545454546, 25.493144872750673)
1228: (2.7272727272727275, 25.493144872750673)
1229: (2.7, 30.32194237812719)
1230: (2.4000000000000004, 30.32194237812719)
1231: (2.7272727272727275, 25.493144872750673)
1232: (3.0, 25.493144872750673)
1233: (3.0, 30.32194237812719)
1234: (2.7, 30.32194237812719)
1235: (0.2727272727272725, 25.493144872750673)
1236: (0.545454545454545, 25.493144872750673)
1237: (0.2999999999999998, 30.32194237812719)
1238: (0.0, 30.32194237812719)
1239: (-4.440892098500626e-16, 25.493144872750673)
1240: (0.2727272727272725, 25.493144872750673)
1241: (0.0, 30.32194237812719)
1242: (0.6000000000000001, 30.32194237812719)
1243: (0.9000000000000001, 30.32194237812719)
1244: (0.6666666666666666, 31.255336800883363)
1245: (0.3333333333333333, 31.255336800883363)
1246: (0.9000000000000001, 30.32194237812719)
1247: (1.2000000000000002, 30.32194237812719)
1248: (1.0, 31.255336800883363)
1249: (0.6666666666666666, 31.255336800883363)
1250: (1.2000000000000002, 30.32194237812719)
1251: (1.5, 30.32194237812719)
1252: (1.3333333333333333, 31.255336800883363)
1253: (1.0, 31.255336800883363)
1254: (1.5, 30.32194237812719)
1255: (1.8000000000000003, 30.32194237812719)
1256: (1.6666666666666667, 31.255336800883363)
1257: (1.3333333333333333, 31.255336800883363)
1258: (1.8000000000000003, 30.32194237812719)
1259: (2.1, 30.32194237812719)
1260: (2.0, 31.255336800883363)
1261: (1.6666666666666667, 31.255336800883363)
1262: (2.1, 30.32194237812719)
1263: (2.4000000000000004, 30.32194237812719)
1264: (2.333333333333333, 31.255336800883363)
1265: (2.0, 31.255336800883363)
1266: (2.4000000000000004, 30.32194237812719)
1267: (2.7, 30.32194237812719)
1268: (2.6666666666666665, 31.255336800883363)
1269: (2.333333333333333, 31.255336800883363)
1270: (2.7, 30.32194237812719)
1271: (3.0, 30.32194237812719)
1272: (3.0, 31.255336800883363)
1273: (2.6666666666666665, 31.255336800883363)
1274: (0.2999999999999998, 30.32194237812719)
1275: (0.5999999999999996, 30.32194237812719)
1276: (0.3333333333333335, 31.255336800883363)
1277: (0.0, 31.255336800883363)
1278: (0.0, 30.32194237812719)
1279: (0.2999999999999998, 30.32194237812719)
1280: (0.0, 31.255336800883363)
1281: (0.6666666666666666, 31.255336800883363)
1282: (1.0, 31.255336800883363)
1283: (0.75, 36.02998509364024)
1284: (0.375, 36.02998509364024)
1285: (1.0, 31.255336800883363)
1286: (1.3333333333333333, 31.255336800883363)
1287: (1.125, 36.02998509364024)
1288: (0.75, 36.02998509364024)
1289: (1.3333333333333333, 31.255336800883363)
1290: (1.6666666666666667, 31.255336800883363)
1291: (1.5, 36.02998509364024)
1292: (1.125, 36.02998509364024)
1293: (1.6666666666666667, 31.255336800883363)
1294: (2.0, 31.255336800883363)
1295: (1.875, 36.02998509364024)
1296: (1.5, 36.02998509364024)
1297: (2.0, 31.255336800883363)
1298: (2.333333333333333, 31.255336800883363)
1299: (2.25, 36.02998509364024)
1300: (1.875, 36.02998509364024)
1301: (2.333333333333333, 31.255336800883363)
1302: (2.6666666666666665, 31.255336800883363)
1303: (2.625, 36.02998509364024)
1304: (2.25, 36.02998509364024)
1305: (2.6666666666666665, 31.255336800883363)
1306: (3.0, 31.255336800883363)
1307: (3.0, 36.02998509364024)
1308: (2.625, 36.02998509364024)
1309: (0.3333333333333335, 31.255336800883363)
1310: (0.666666666666667, 31.255336800883363)
1311: (0.375, 36.02998509364024)
1312: (0.0, 36.02998509364024)
1313: (0.0, 31.255336800883363)
1314: (0.3333333333333335, 31.255336800883363)
1315: (0.0, 36.02998509364024)
1316: (0.75, 36.02998509364024)
1317: (1.125, 36.02998509364024)
1318: (0.8571428571428571, 40.804633386397114)
1319: (0.42857142857142855, 40.804633386397114)
1320: (1.125, 36.02998509364024)
1321: (1.5, 36.02998509364024)
1322: (1.2857142857142856, 40.804633386397114)
1323: (0.8571428571428571, 40.804633386397114)
1324: (1.5, 36.02998509364024)
1325: (1.875, 36.02998509364024)
1326: (1.7142857142857142, 40.804633386397114)
1327: (1.2857142857142856, 40.804633386397114)
1328: (1.875, 36.02998509364024)
1329: (2.25, 36.02998509364024)
1330: (2.1428571428571423, 40.804633386397114)
1331: (1.7142857142857142, 40.804633386397114)
1332: (2.25, 36.02998509364024)
1333: (2.625, 36.02998509364024)
1334: (2.571428571428571, 40.804633386397114)
1335: (2.1428571428571423, 40.804633386397114)
1336: (2.625, 36.02998509364024)
1337: (3.0, 36.02998509364024)
1338: (3.0, 40.804633386397114)
1339: (2.571428571428571, 40.804633386397114)
1340: (0.375, 36.02998509364024)
1341: (0.75, 36.02998509364024)
1342: (0.4285714285714284, 40.804633386397114)
1343: (-4.440892098500626e-16, 40.804633386397114)
1344: (0.0, 36.02998509364024)
1345: (0.375, 36.02998509364024)
1346: (-4.440892098500626e-16, 40.804633386397114)
1347: (0.8571428571428571, 40.804633386397114)
1348: (1.2857142857142856, 40.804633386397114)
1349: (1.0, 45.57928167915397)
1350: (0.5, 45.57928167915397)
1351: (1.2857142857142856, 40.804633386397114)
1352: (1.7142857142857142, 40.804633386397114)
1353: (1.5, 45.57928167915397)
1354: (1.0, 45.57928167915397)
1355: (1.7142857142857142, 40.804633386397114)
1356: (2.1428571428571423, 40.804633386397114)
1357: (2.0, 45.57928167915397)
1358: (1.5, 45.57928167915397)
1359: (2.1428571428571423, 40.804633386397114)
1360: (2.571428571428571, 40.804633386397114)
1361: (2.5, 45.57928167915397)
1362: (2.0, 45.57928167915397)
1363: (2.571428571428571, 40.804633386397114)
1364: (3.0, 40.804633386397114)
1365: (3.0, 45.57928167915397)
1366: (2.5, 45.57928167915397)
1367: (0.42857142857142794, 40.804633386397114)
1368: (0.8571428571428568, 40.804633386397114)
1369: (0.5, 45.57928167915397)
1370: (0.0, 45.57928167915397)
1371: (-4.440892098500626e-16, 40.804633386397114)
1372: (0.4285714285714284, 40.804633386397114)
1373: (0.0, 45.57928167915397)
1374: (1.0, 45.57928167915397)
1375: (1.5, 45.57928167915397)
1376: (1.2000000000000002, 50.353929971910844)
1377: (0.6000000000000001, 50.353929971910844)
1378: (1.5, 45.57928167915397)
1379: (2.0, 45.57928167915397)
1380: (1.8000000000000003, 50.353929971910844)
1381: (1.2000000000000002, 50.353929971910844)
1382: (2.0, 45.57928167915397)
1383: (2.5, 45.57928167915397)
1384: (2.4000000000000004, 50.353929971910844)
1385: (1.8000000000000003, 50.353929971910844)
1386: (2.5, 45.57928167915397)
1387: (3.0, 45.57928167915397)
1388: (3.0, 50.353929971910844)
1389: (2.4000000000000004, 50.353929971910844)
1390: (0.5, 45.57928167915397)
1391: (1.0, 45.57928167915397)
1392: (0.6000000000000001, 50.353929971910844)
1393: (4.440892098500626e-16, 50.353929971910844)
1394: (0.0, 45.57928167915397)
1395: (0.5, 45.57928167915397)
1396: (4.440892098500626e-16, 50.353929971910844)
1397: (1.2000000000000002, 50.353929971910844)
1398: (1.8000000000000003, 50.353929971910844)
1399: (1.5, 55.1285782646677)
1400: (0.75, 55.1285782646677)
1401: (1.8000000000000003, 50.353929971910844)
1402: (2.4000000000000004, 50.353929971910844)
1403: (2.25, 55.1285782646677)
1404: (1.5, 55.1285782646677)
1405: (2.4000000000000004, 50.353929971910844)
1406: (3.0, 50.353929971910844)
1407: (3.0, 55.1285782646677)
1408: (2.25, 55.1285782646677)
1409: (0.6000000000000005, 50.353929971910844)
1410: (1.2000000000000002, 50.353929971910844)
1411: (0.75, 55.1285782646677)
1412: (0.0, 55.1285782646677)
1413: (4.440892098500626e-16, 50.353929971910844)
1414: (0.6000000000000001, 50.353929971910844)
1415: (0.0, 55.1285782646677)
1416: (1.5, 55.1285782646677)
1417: (2.25, 55.1285782646677)
1418: (2.0, 59.90322655742455)
1419: (1.0, 59.90322655742455)
1420: (2.25, 55.1285782646677)
1421: (3.0, 55.1285782646677)
