# Root UV coordinates (u, v)
0: (0.375, 0.0)
1: (0.5625, 0.0)
2: (0.4, 19.794896047054465)
3: (0.2, 19.794896047054465)
4: (0.5625, 0.0)
5: (0.75, 0.0)
6: (0.6000000000000001, 19.794896047054465)
7: (0.4, 19.794896047054465)
8: (0.75, 0.0)
9: (0.9375, 0.0)
10: (0.8, 19.794896047054465)
11: (0.6000000000000001, 19.794896047054465)
12: (0.9375, 0.0)
13: (1.125, 0.0)
14: (1.0, 19.794896047054465)
15: (0.8, 19.794896047054465)
16: (1.125, 0.0)
17: (1.3125, 0.0)
18: (1.2000000000000002, 19.794896047054465)
19: (1.0, 19.794896047054465)
20: (1.3125, 0.0)
21: (1.5, 0.0)
22: (1.4, 19.794896047054465)
23: (1.2000000000000002, 19.794896047054465)
24: (1.5, 0.0)
25: (1.6875, 0.0)
26: (1.6, 19.794896047054465)
27: (1.4, 19.794896047054465)
28: (1.6875, 0.0)
29: (1.875, 0.0)
30: (1.7999999999999998, 19.794896047054465)
31: (1.6, 19.794896047054465)
32: (1.875, 0.0)
33: (2.0625, 0.0)
34: (2.0, 19.794896047054465)
35: (1.7999999999999998, 19.794896047054465)
36: (2.0625, 0.0)
37: (2.25, 0.0)
38: (2.1999999999999997, 19.794896047054465)
39: (2.0, 19.794896047054465)
40: (2.25, 0.0)
41: (2.4375, 0.0)
42: (2.4000000000000004, 19.794896047054465)
43: (2.1999999999999997, 19.794896047054465)
44: (2.4375, 0.0)
45: (2.625, 0.0)
46: (2.6, 19.794896047054465)
47: (2.4000000000000004, 19.794896047054465)
48: (2.625, 0.0)
49: (2.8125, 0.0)
50: (2.8, 19.794896047054465)
51: (2.6, 19.794896047054465)
52: (2.8125, 0.0)
53: (3.0, 0.0)
54: (3.0, 19.794896047054465)
55: (2.8, 19.794896047054465)
56: (0.1875, 0.0)
57: (0.375, 0.0)
58: (0.20000000000000018, 19.794896047054465)
59: (0.0, 19.794896047054465)
60: (0.0, 0.0)
61: (0.1875, 0.0)
62: (0.0, 19.794896047054465)
63: (0.4, 19.794896047054465)
64: (0.6000000000000001, 19.794896047054465)
65: (0.42857142857142855, 39.68926393354134)
66: (0.21428571428571427, 39.68926393354134)
67: (0.6000000000000001, 19.794896047054465)
68: (0.8, 19.794896047054465)
69: (0.6428571428571428, 39.68926393354134)
70: (0.42857142857142855, 39.68926393354134)
71: (0.8, 19.794896047054465)
72: (1.0, 19.794896047054465)
73: (0.8571428571428571, 39.68926393354134)
74: (0.6428571428571428, 39.68926393354134)
75: (1.0, 19.794896047054465)
76: (1.2000000000000002, 19.794896047054465)
77: (1.0714285714285712, 39.68926393354134)
78: (0.8571428571428571, 39.68926393354134)
79: (1.2000000000000002, 19.794896047054465)
80: (1.4, 19.794896047054465)
