# Advanced Skeleton Bones (Tagged with custom parameters)

# Parameters:
#   Length: 0.0
#   Reduce: 0.0
#   Bias: 0.5
#   Connected: True

# Total bones: 24

# Format: bone_id: (is_tree_root, parent_bone_id, start_point, end_point, radius, mass, is_branch_root, branch_id)

0: (True, 24, (5.0000, 6.0000, 0.0000), (5.0088, 6.0085, 0.9999), 0.003919323130913511, 78.40189737007093, True, 8)
1: (False, 24, (5.0088, 6.0085, 0.9999), (5.0172, 6.0083, 1.0745), 0.0026832278751917123, 30.143597922707052, False, 8)
2: (False, 25, (5.0172, 6.0083, 1.0745), (5.0282, 6.0123, 1.1485), 0.0024909995309679096, 24.623826670657802, False, 8)
3: (False, 26, (5.0282, 6.0123, 1.1485), (5.0407, 6.0269, 1.2210), 0.0022432208267883454, 19.340455297424853, False, 8)
4: (False, 27, (5.0407, 6.0269, 1.2210), (5.0479, 6.0389, 1.2947), 0.002, 14.325978784193836, False, 8)
5: (False, 28, (5.0479, 6.0389, 1.2947), (5.0585, 6.0538, 1.3671), 0.002, 9.554670891197201, False, 8)
6: (False, 29, (5.0585, 6.0538, 1.3671), (5.0695, 6.0706, 1.4389), 0.001994993734326, 4.799229740183211, False, 8)
7: (False, 30, (5.0695, 6.0706, 1.4389), (5.0837, 6.0919, 1.5090), 0.001994993734326, 3.86615316012214, False, 8)
8: (False, 31, (5.0837, 6.0919, 1.5090), (5.1028, 6.1172, 1.5766), 0.001994993734326, 2.93307658006107, False, 8)
9: (False, 25, (5.0088, 6.0085, 0.9999), (4.9677, 5.9706, 1.0410), 0.0016691315106965058, 3.823379117518889, True, 9)
10: (False, 33, (4.9677, 5.9706, 1.0410), (4.9291, 5.9366, 1.0875), 0.0016691315106965058, 3.216494574912727, False, 9)
11: (False, 34, (4.9291, 5.9366, 1.0875), (4.8936, 5.9008, 1.1355), 0.0016691315106965058, 2.609610032306566, False, 9)
12: (False, 26, (5.0172, 6.0083, 1.0745), (5.0756, 6.0313, 1.1036), 0.0016691315106965058, 3.821334157469355, True, 10)
13: (False, 36, (5.0756, 6.0313, 1.1036), (5.1308, 6.0518, 1.1400), 0.0016691315106965058, 3.2154720948879607, False, 10)
14: (False, 37, (5.1308, 6.0518, 1.1400), (5.1842, 6.0769, 1.1769), 0.0016691315106965058, 2.6096100323065663, False, 10)
15: (False, 27, (5.0282, 6.0123, 1.1485), (4.9747, 6.0101, 1.1930), 0.0016691315106965058, 3.828830096919699, True, 11)
16: (False, 39, (4.9747, 6.0101, 1.1930), (4.9298, 6.0108, 1.2462), 0.0016691315106965058, 3.2192200646131326, False, 11)
17: (False, 40, (4.9298, 6.0108, 1.2462), (4.8825, 5.9994, 1.2961), 0.0016691315106965058, 2.6096100323065663, False, 11)
18: (False, 28, (5.0407, 6.0269, 1.2210), (5.1014, 6.0134, 1.2523), 0.0016691315106965058, 3.8288300969196984, True, 12)
19: (False, 42, (5.1014, 6.0134, 1.2523), (5.1627, 6.0104, 1.2853), 0.0016691315106965058, 3.2192200646131326, False, 12)
20: (False, 43, (5.1627, 6.0104, 1.2853), (5.2206, 6.0042, 1.3234), 0.0016691315106965058, 2.6096100323065663, False, 12)
21: (False, 29, (5.0479, 6.0389, 1.2947), (5.0241, 6.0959, 1.3260), 0.0016691315106965058, 3.8176757439174374, True, 13)
22: (False, 45, (5.0241, 6.0959, 1.3260), (5.0036, 6.1503, 1.3633), 0.0016691315106965058, 3.2116351894144515, False, 13)
23: (False, 46, (5.0036, 6.1503, 1.3633), (4.9894, 6.2007, 1.4089), 0.0016691315106965058, 2.6069373751177034, False, 13)
