# Root UV coordinates (u, v)
715: (0.5, 0.5)
716: (0.5, 0.5)
717: (0.3333333333333333, 0.0)
718: (0.6666666666666666, 0.0)
719: (0.6666666666666666, 0.674995957637924)
720: (0.3333333333333333, 0.674995957637924)
721: (0.6666666666666666, 0.0)
722: (1.0, 0.0)
723: (1.0, 0.674995957637924)
724: (0.6666666666666666, 0.674995957637924)
725: (-1.1102230246251565e-16, 0.0)
726: (0.33333333333333326, 0.0)
727: (0.33333333333333326, 0.674995957637924)
728: (-1.1102230246251565e-16, 0.674995957637924)
729: (0.3333333333333333, 0.674995957637924)
730: (0.6666666666666666, 0.674995957637924)
731: (0.6666666666666666, 1.1512167270061664)
732: (0.3333333333333333, 1.1512167270061664)
733: (0.6666666666666666, 0.674995957637924)
734: (1.0, 0.674995957637924)
735: (1.0, 1.1512167270061664)
736: (0.6666666666666666, 1.1512167270061664)
737: (-1.1102230246251565e-16, 0.674995957637924)
738: (0.33333333333333326, 0.674995957637924)
739: (0.33333333333333326, 1.1512167270061664)
740: (-1.1102230246251565e-16, 1.1512167270061664)
741: (0.3333333333333333, 1.1512167270061664)
742: (0.6666666666666666, 1.1512167270061664)
743: (0.6666666666666666, 1.9422949949115211)
744: (0.3333333333333333, 1.9422949949115211)
745: (0.6666666666666666, 1.1512167270061664)
746: (1.0, 1.1512167270061664)
747: (1.0, 1.9422949949115211)
748: (0.6666666666666666, 1.9422949949115211)
749: (-1.1102230246251565e-16, 1.1512167270061664)
750: (0.33333333333333326, 1.1512167270061664)
751: (0.33333333333333326, 1.9422949949115211)
752: (-1.1102230246251565e-16, 1.9422949949115211)
753: (0.3333333333333333, 1.9422949949115211)
754: (0.6666666666666666, 1.9422949949115211)
755: (0.6666666666666666, 3.533844425830474)
756: (0.3333333333333333, 3.533844425830474)
757: (0.6666666666666666, 1.9422949949115211)
758: (1.0, 1.9422949949115211)
759: (1.0, 3.533844425830474)
760: (0.6666666666666666, 3.533844425830474)
761: (-1.1102230246251565e-16, 1.9422949949115211)
762: (0.33333333333333326, 1.9422949949115211)
763: (0.33333333333333326, 3.533844425830474)
764: (-1.1102230246251565e-16, 3.533844425830474)
765: (0.2500000000000001, 0.9330127018922194)
766: (1.0, 0.5)
767: (0.5, 0.5)
768: (0.24999999999999978, 0.06698729810778076)
769: (0.2500000000000001, 0.9330127018922194)
770: (0.5, 0.5)
771: (1.0, 0.5)
772: (0.24999999999999978, 0.06698729810778076)
773: (0.5, 0.5)
774: (0.5, 0.5)
775: (0.5, 0.5)
776: (0.5, 0.5)
777: (0.5, 0.5)
778: (0.5, 0.5)
779: (0.5, 0.5)
780: (0.5, 0.0)
781: (0.75, 0.0)
782: (0.5454545454545454, 25.533912227148942)
783: (0.2727272727272727, 25.533912227148942)
784: (0.75, 0.0)
785: (1.0, 0.0)
786: (0.8181818181818181, 25.533912227148942)
787: (0.5454545454545454, 25.533912227148942)
788: (1.0, 0.0)
789: (1.25, 0.0)
790: (1.0909090909090908, 25.533912227148942)
791: (0.8181818181818181, 25.533912227148942)
792: (1.25, 0.0)
793: (1.5, 0.0)
794: (1.3636363636363638, 25.533912227148942)
795: (1.0909090909090908, 25.533912227148942)
796: (1.5, 0.0)
797: (1.7499999999999998, 0.0)
798: (1.6363636363636362, 25.533912227148942)
799: (1.3636363636363638, 25.533912227148942)
800: (1.7499999999999998, 0.0)
801: (2.0, 0.0)
802: (1.9090909090909092, 25.533912227148942)
803: (1.6363636363636362, 25.533912227148942)
804: (2.0, 0.0)
805: (2.25, 0.0)
806: (2.1818181818181817, 25.533912227148942)
807: (1.9090909090909092, 25.533912227148942)
808: (2.25, 0.0)
809: (2.5, 0.0)
810: (2.4545454545454546, 25.533912227148942)
811: (2.1818181818181817, 25.533912227148942)
812: (2.5, 0.0)
813: (2.75, 0.0)
814: (2.7272727272727275, 25.533912227148942)
815: (2.4545454545454546, 25.533912227148942)
816: (2.75, 0.0)
817: (3.0, 0.0)
818: (3.0, 25.533912227148942)
819: (2.7272727272727275, 25.533912227148942)
820: (0.25, 0.0)
821: (0.5, 0.0)
822: (0.2727272727272725, 25.533912227148942)
823: (0.0, 25.533912227148942)
824: (0.0, 0.0)
825: (0.25, 0.0)
826: (0.0, 25.533912227148942)
827: (0.5454545454545454, 25.533912227148942)
828: (0.8181818181818181, 25.533912227148942)
829: (0.6000000000000001, 30.5295934000313)
830: (0.30000000000000004, 30.5295934000313)
831: (0.8181818181818181, 25.533912227148942)
832: (1.0909090909090908, 25.533912227148942)
833: (0.9000000000000001, 30.5295934000313)
834: (0.6000000000000001, 30.5295934000313)
835: (1.0909090909090908, 25.533912227148942)
836: (1.3636363636363638, 25.533912227148942)
837: (1.2000000000000002, 30.5295934000313)
838: (0.9000000000000001, 30.5295934000313)
839: (1.3636363636363638, 25.533912227148942)
840: (1.6363636363636362, 25.533912227148942)
841: (1.5, 30.5295934000313)
842: (1.2000000000000002, 30.5295934000313)
843: (1.6363636363636362, 25.533912227148942)
844: (1.9090909090909092, 25.533912227148942)
845: (1.8000000000000003, 30.5295934000313)
846: (1.5, 30.5295934000313)
847: (1.9090909090909092, 25.533912227148942)
848: (2.1818181818181817, 25.533912227148942)
849: (2.1, 30.5295934000313)
850: (1.8000000000000003, 30.5295934000313)
851: (2.1818181818181817, 25.533912227148942)
852: (2.4545454545454546, 25.533912227148942)
853: (2.4000000000000004, 30.5295934000313)
854: (2.1, 30.5295934000313)
855: (2.4545454545454546, 25.533912227148942)
856: (2.7272727272727275, 25.533912227148942)
857: (2.7, 30.5295934000313)
858: (2.4000000000000004, 30.5295934000313)
859: (2.7272727272727275, 25.533912227148942)
860: (3.0, 25.533912227148942)
861: (3.0, 30.5295934000313)
862: (2.7, 30.5295934000313)
863: (0.2727272727272725, 25.533912227148942)
864: (0.545454545454545, 25.533912227148942)
865: (0.2999999999999998, 30.5295934000313)
866: (0.0, 30.5295934000313)
867: (-4.440892098500626e-16, 25.533912227148942)
868: (0.2727272727272725, 25.533912227148942)
869: (0.0, 30.5295934000313)
870: (0.6000000000000001, 30.5295934000313)
871: (0.9000000000000001, 30.5295934000313)
872: (0.6666666666666666, 31.468292199677304)
873: (0.3333333333333333, 31.468292199677304)
874: (0.9000000000000001, 30.5295934000313)
875: (1.2000000000000002, 30.5295934000313)
876: (1.0, 31.468292199677304)
877: (0.6666666666666666, 31.468292199677304)
878: (1.2000000000000002, 30.5295934000313)
879: (1.5, 30.5295934000313)
880: (1.3333333333333333, 31.468292199677304)
881: (1.0, 31.468292199677304)
882: (1.5, 30.5295934000313)
883: (1.8000000000000003, 30.5295934000313)
884: (1.6666666666666667, 31.468292199677304)
885: (1.3333333333333333, 31.468292199677304)
886: (1.8000000000000003, 30.5295934000313)
887: (2.1, 30.5295934000313)
888: (2.0, 31.468292199677304)
889: (1.6666666666666667, 31.468292199677304)
890: (2.1, 30.5295934000313)
891: (2.4000000000000004, 30.5295934000313)
892: (2.333333333333333, 31.468292199677304)
893: (2.0, 31.468292199677304)
894: (2.4000000000000004, 30.5295934000313)
895: (2.7, 30.5295934000313)
896: (2.6666666666666665, 31.468292199677304)
897: (2.333333333333333, 31.468292199677304)
898: (2.7, 30.5295934000313)
899: (3.0, 30.5295934000313)
900: (3.0, 31.468292199677304)
901: (2.6666666666666665, 31.468292199677304)
902: (0.2999999999999998, 30.5295934000313)
903: (0.5999999999999996, 30.5295934000313)
904: (0.3333333333333335, 31.468292199677304)
905: (0.0, 31.468292199677304)
906: (0.0, 30.5295934000313)
907: (0.2999999999999998, 30.5295934000313)
908: (0.0, 31.468292199677304)
909: (0.6666666666666666, 31.468292199677304)
910: (1.0, 31.468292199677304)
911: (0.75, 36.242940492434165)
912: (0.375, 36.242940492434165)
913: (1.0, 31.468292199677304)
914: (1.3333333333333333, 31.468292199677304)
915: (1.125, 36.242940492434165)
916: (0.75, 36.242940492434165)
917: (1.3333333333333333, 31.468292199677304)
918: (1.6666666666666667, 31.468292199677304)
919: (1.5, 36.242940492434165)
920: (1.125, 36.242940492434165)
921: (1.6666666666666667, 31.468292199677304)
922: (2.0, 31.468292199677304)
923: (1.875, 36.242940492434165)
924: (1.5, 36.242940492434165)
925: (2.0, 31.468292199677304)
926: (2.333333333333333, 31.468292199677304)
927: (2.25, 36.242940492434165)
928: (1.875, 36.242940492434165)
929: (2.333333333333333, 31.468292199677304)
930: (2.6666666666666665, 31.468292199677304)
931: (2.625, 36.242940492434165)
932: (2.25, 36.242940492434165)
933: (2.6666666666666665, 31.468292199677304)
934: (3.0, 31.468292199677304)
935: (3.0, 36.242940492434165)
936: (2.625, 36.242940492434165)
937: (0.3333333333333335, 31.468292199677304)
938: (0.666666666666667, 31.468292199677304)
939: (0.375, 36.242940492434165)
940: (0.0, 36.242940492434165)
941: (0.0, 31.468292199677304)
942: (0.3333333333333335, 31.468292199677304)
943: (0.0, 36.242940492434165)
944: (0.75, 36.242940492434165)
945: (1.125, 36.242940492434165)
946: (0.8571428571428571, 41.01758878519102)
947: (0.42857142857142855, 41.01758878519102)
948: (1.125, 36.242940492434165)
949: (1.5, 36.242940492434165)
950: (1.2857142857142856, 41.01758878519102)
951: (0.8571428571428571, 41.01758878519102)
952: (1.5, 36.242940492434165)
953: (1.875, 36.242940492434165)
954: (1.7142857142857142, 41.01758878519102)
955: (1.2857142857142856, 41.01758878519102)
956: (1.875, 36.242940492434165)
957: (2.25, 36.242940492434165)
958: (2.1428571428571423, 41.01758878519102)
959: (1.7142857142857142, 41.01758878519102)
960: (2.25, 36.242940492434165)
961: (2.625, 36.242940492434165)
962: (2.571428571428571, 41.01758878519102)
963: (2.1428571428571423, 41.01758878519102)
964: (2.625, 36.242940492434165)
965: (3.0, 36.242940492434165)
966: (3.0, 41.01758878519102)
967: (2.571428571428571, 41.01758878519102)
968: (0.375, 36.242940492434165)
969: (0.75, 36.242940492434165)
970: (0.4285714285714284, 41.01758878519102)
971: (-4.440892098500626e-16, 41.01758878519102)
972: (0.0, 36.242940492434165)
973: (0.375, 36.242940492434165)
974: (-4.440892098500626e-16, 41.01758878519102)
975: (0.8571428571428571, 41.01758878519102)
976: (1.2857142857142856, 41.01758878519102)
977: (1.0, 45.79223707794788)
978: (0.5, 45.79223707794788)
979: (1.2857142857142856, 41.01758878519102)
980: (1.7142857142857142, 41.01758878519102)
981: (1.5, 45.79223707794788)
982: (1.0, 45.79223707794788)
983: (1.7142857142857142, 41.01758878519102)
984: (2.1428571428571423, 41.01758878519102)
985: (2.0, 45.79223707794788)
986: (1.5, 45.79223707794788)
987: (2.1428571428571423, 41.01758878519102)
988: (2.571428571428571, 41.01758878519102)
989: (2.5, 45.79223707794788)
990: (2.0, 45.79223707794788)
991: (2.571428571428571, 41.01758878519102)
992: (3.0, 41.01758878519102)
993: (3.0, 45.79223707794788)
994: (2.5, 45.79223707794788)
995: (0.42857142857142794, 41.01758878519102)
996: (0.8571428571428568, 41.01758878519102)
997: (0.5, 45.79223707794788)
998: (0.0, 45.79223707794788)
999: (-4.440892098500626e-16, 41.01758878519102)
1000: (0.4285714285714284, 41.01758878519102)
1001: (0.0, 45.79223707794788)
1002: (1.0, 45.79223707794788)
1003: (1.5, 45.79223707794788)
1004: (1.2000000000000002, 50.566885370704746)
1005: (0.6000000000000001, 50.566885370704746)
1006: (1.5, 45.79223707794788)
1007: (2.0, 45.79223707794788)
1008: (1.8000000000000003, 50.566885370704746)
1009: (1.2000000000000002, 50.566885370704746)
1010: (2.0, 45.79223707794788)
1011: (2.5, 45.79223707794788)
1012: (2.4000000000000004, 50.566885370704746)
1013: (1.8000000000000003, 50.566885370704746)
1014: (2.5, 45.79223707794788)
1015: (3.0, 45.79223707794788)
1016: (3.0, 50.566885370704746)
1017: (2.4000000000000004, 50.566885370704746)
1018: (0.5, 45.79223707794788)
1019: (1.0, 45.79223707794788)
1020: (0.6000000000000001, 50.566885370704746)
1021: (4.440892098500626e-16, 50.566885370704746)
1022: (0.0, 45.79223707794788)
1023: (0.5, 45.79223707794788)
1024: (4.440892098500626e-16, 50.566885370704746)
1025: (1.2000000000000002, 50.566885370704746)
1026: (1.8000000000000003, 50.566885370704746)
1027: (1.5, 55.3415336634616)
1028: (0.75, 55.3415336634616)
1029: (1.8000000000000003, 50.566885370704746)
1030: (2.4000000000000004, 50.566885370704746)
1031: (2.25, 55.3415336634616)
1032: (1.5, 55.3415336634616)
1033: (2.4000000000000004, 50.566885370704746)
1034: (3.0, 50.566885370704746)
1035: (3.0, 55.3415336634616)
1036: (2.25, 55.3415336634616)
1037: (0.6000000000000005, 50.566885370704746)
1038: (1.2000000000000002, 50.566885370704746)
1039: (0.75, 55.3415336634616)
1040: (0.0, 55.3415336634616)
1041: (4.440892098500626e-16, 50.566885370704746)
1042: (0.6000000000000001, 50.566885370704746)
1043: (0.0, 55.3415336634616)
1044: (1.5, 55.3415336634616)
1045: (2.25, 55.3415336634616)
1046: (2.0, 60.11618195621846)
1047: (1.0, 60.11618195621846)
1048: (2.25, 55.3415336634616)
1049: (3.0, 55.3415336634616)
1050: (3.0, 60.11618195621846)
1051: (2.0, 60.11618195621846)
1052: (0.75, 55.3415336634616)
1053: (1.5, 55.3415336634616)
1054: (1.0, 60.11618195621846)
1055: (0.0, 60.11618195621846)
1056: (0.0, 55.3415336634616)
1057: (0.75, 55.3415336634616)
1058: (0.0, 60.11618195621846)
1059: (1.0, 60.11618195621846)
1060: (2.0, 60.11618195621846)
1061: (2.0, 64.89083024897532)
1062: (1.0, 64.89083024897532)
1063: (2.0, 60.11618195621846)
1064: (3.0, 60.11618195621846)
1065: (3.0, 64.89083024897532)
1066: (2.0, 64.89083024897532)
1067: (0.0, 60.11618195621846)
1068: (1.0, 60.11618195621846)
1069: (1.0, 64.89083024897532)
1070: (0.0, 64.89083024897532)
1071: (1.0, 64.89083024897532)
1072: (2.0, 64.89083024897532)
1073: (2.0, 69.66547854173217)
1074: (1.0, 69.66547854173217)
1075: (2.0, 64.89083024897532)
1076: (3.0, 64.89083024897532)
1077: (3.0, 69.66547854173217)
1078: (2.0, 69.66547854173217)
1079: (0.0, 64.89083024897532)
1080: (1.0, 64.89083024897532)
1081: (1.0, 69.66547854173217)
1082: (0.0, 69.66547854173217)
1083: (1.0, 69.66547854173217)
1084: (2.0, 69.66547854173217)
1085: (2.0, 74.44012683448904)
1086: (1.0, 74.44012683448904)
1087: (2.0, 69.66547854173217)
1088: (3.0, 69.66547854173217)
1089: (3.0, 74.44012683448904)
1090: (2.0, 74.44012683448904)
1091: (0.0, 69.66547854173217)
1092: (1.0, 69.66547854173217)
1093: (1.0, 74.44012683448904)
1094: (0.0, 74.44012683448904)
1095: (1.0, 74.44012683448904)
1096: (2.0, 74.44012683448904)
1097: (2.0, 79.2147751272459)
1098: (1.0, 79.2147751272459)
1099: (2.0, 74.44012683448904)
1100: (3.0, 74.44012683448904)
1101: (3.0, 79.2147751272459)
1102: (2.0, 79.2147751272459)
1103: (0.0, 74.44012683448904)
1104: (1.0, 74.44012683448904)
1105: (1.0, 79.2147751272459)
1106: (0.0, 79.2147751272459)
1107: (0.2500000000000001, 0.9330127018922194)
1108: (1.0, 0.5)
1109: (0.5, 0.5)
1110: (0.24999999999999978, 0.06698729810778076)
1111: (0.2500000000000001, 0.9330127018922194)
1112: (0.5, 0.5)
1113: (1.0, 0.5)
1114: (0.24999999999999978, 0.06698729810778076)
1115: (0.5, 0.5)
1116: (0.5, 0.5)
1117: (0.5, 0.5)
1118: (0.5, 0.5)
1119: (0.5, 0.5)
1120: (0.5, 0.5)
1121: (0.5, 0.5)
1122: (0.5, 0.5)
1123: (0.5, 0.5)
1124: (0.5, 0.5)
1125: (0.5, 0.5)
1126: (0.5, 0.5)
1127: (0.5, 0.5)
1128: (0.5, 0.5)
1129: (0.5, 0.5)
1130: (0.5, 0.5)
1131: (0.5, 0.5)
1132: (0.5, 0.5)
1133: (0.5, 0.5)
1134: (0.5, 0.5)
1135: (0.5, 0.5)
1136: (0.5, 0.5)
1137: (0.3333333333333333, 0.0)
1138: (0.6666666666666666, 0.0)
1139: (0.6666666666666666, 0.643980824621518)
1140: (0.3333333333333333, 0.643980824621518)
1141: (0.6666666666666666, 0.0)
1142: (1.0, 0.0)
1143: (1.0, 0.643980824621518)
1144: (0.6666666666666666, 0.643980824621518)
1145: (-1.1102230246251565e-16, 0.0)
1146: (0.33333333333333326, 0.0)
1147: (0.33333333333333326, 0.643980824621518)
1148: (-1.1102230246251565e-16, 0.643980824621518)
1149: (0.3333333333333333, 0.643980824621518)
1150: (0.6666666666666666, 0.643980824621518)
1151: (0.6666666666666666, 1.1191554191284308)
1152: (0.3333333333333333, 1.1191554191284308)
1153: (0.6666666666666666, 0.643980824621518)
1154: (1.0, 0.643980824621518)
1155: (1.0, 1.1191554191284308)
1156: (0.6666666666666666, 1.1191554191284308)
1157: (-1.1102230246251565e-16, 0.643980824621518)
1158: (0.33333333333333326, 0.643980824621518)
1159: (0.33333333333333326, 1.1191554191284308)
1160: (-1.1102230246251565e-16, 1.1191554191284308)
1161: (0.3333333333333333, 1.1191554191284308)
1162: (0.6666666666666666, 1.1191554191284308)
1163: (0.6666666666666666, 1.9101940183422492)
1164: (0.3333333333333333, 1.9101940183422492)
1165: (0.6666666666666666, 1.1191554191284308)
1166: (1.0, 1.1191554191284308)
1167: (1.0, 1.9101940183422492)
1168: (0.6666666666666666, 1.9101940183422492)
1169: (-1.1102230246251565e-16, 1.1191554191284308)
1170: (0.33333333333333326, 1.1191554191284308)
1171: (0.33333333333333326, 1.9101940183422492)
1172: (-1.1102230246251565e-16, 1.9101940183422492)
1173: (0.3333333333333333, 1.9101940183422492)
1174: (0.6666666666666666, 1.9101940183422492)
1175: (0.6666666666666666, 3.501743449261202)
1176: (0.3333333333333333, 3.501743449261202)
1177: (0.6666666666666666, 1.9101940183422492)
1178: (1.0, 1.9101940183422492)
1179: (1.0, 3.501743449261202)
1180: (0.6666666666666666, 3.501743449261202)
1181: (-1.1102230246251565e-16, 1.9101940183422492)
1182: (0.33333333333333326, 1.9101940183422492)
1183: (0.33333333333333326, 3.501743449261202)
1184: (-1.1102230246251565e-16, 3.501743449261202)
1185: (0.3333333333333333, 3.501743449261202)
1186: (0.6666666666666666, 3.501743449261202)
1187: (0.6666666666666666, 5.093292880180156)
1188: (0.3333333333333333, 5.093292880180156)
1189: (0.6666666666666666, 3.501743449261202)
1190: (1.0, 3.501743449261202)
1191: (1.0, 5.093292880180156)
1192: (0.6666666666666666, 5.093292880180156)
1193: (-1.1102230246251565e-16, 3.501743449261202)
1194: (0.33333333333333326, 3.501743449261202)
1195: (0.33333333333333326, 5.093292880180156)
1196: (-1.1102230246251565e-16, 5.093292880180156)
1197: (0.3333333333333333, 5.093292880180156)
1198: (0.6666666666666666, 5.093292880180156)
1199: (0.6666666666666666, 6.6848423110991115)
1200: (0.3333333333333333, 6.6848423110991115)
1201: (0.6666666666666666, 5.093292880180156)
1202: (1.0, 5.093292880180156)
1203: (1.0, 6.6848423110991115)
1204: (0.6666666666666666, 6.6848423110991115)
1205: (-1.1102230246251565e-16, 5.093292880180156)
1206: (0.33333333333333326, 5.093292880180156)
1207: (0.33333333333333326, 6.6848423110991115)
1208: (-1.1102230246251565e-16, 6.6848423110991115)
1209: (0.3333333333333333, 6.6848423110991115)
1210: (0.6666666666666666, 6.6848423110991115)
1211: (0.6666666666666666, 8.276391742018067)
1212: (0.3333333333333333, 8.276391742018067)
1213: (0.6666666666666666, 6.6848423110991115)
1214: (1.0, 6.6848423110991115)
1215: (1.0, 8.276391742018067)
1216: (0.6666666666666666, 8.276391742018067)
1217: (-1.1102230246251565e-16, 6.6848423110991115)
1218: (0.33333333333333326, 6.6848423110991115)
1219: (0.33333333333333326, 8.276391742018067)
1220: (-1.1102230246251565e-16, 8.276391742018067)
1221: (0.2500000000000001, 0.9330127018922194)
1222: (1.0, 0.5)
1223: (0.5, 0.5)
1224: (0.24999999999999978, 0.06698729810778076)
1225: (0.2500000000000001, 0.9330127018922194)
1226: (0.5, 0.5)
1227: (1.0, 0.5)
1228: (0.24999999999999978, 0.06698729810778076)
1229: (0.5, 0.5)
1230: (0.5, 0.5)
1231: (0.5, 0.5)
1232: (0.5, 0.5)
1233: (0.5, 0.5)
1234: (0.5, 0.5)
1235: (0.5, 0.5)
1236: (0.5, 0.5)
1237: (0.5, 0.5)
1238: (0.5, 0.5)
1239: (0.5, 0.5)
1240: (0.5, 0.5)
1241: (0.5, 0.5)
1242: (0.3333333333333333, 0.0)
1243: (0.6666666666666666, 0.0)
1244: (0.6666666666666666, 0.6776756657832718)
1245: (0.3333333333333333, 0.6776756657832718)
1246: (0.6666666666666666, 0.0)
1247: (1.0, 0.0)
1248: (1.0, 0.6776756657832718)
1249: (0.6666666666666666, 0.6776756657832718)
1250: (-1.1102230246251565e-16, 0.0)
1251: (0.33333333333333326, 0.0)
1252: (0.33333333333333326, 0.6776756657832718)
1253: (-1.1102230246251565e-16, 0.6776756657832718)
1254: (0.3333333333333333, 0.6776756657832718)
1255: (0.6666666666666666, 0.6776756657832718)
1256: (0.6666666666666666, 1.3272409469085118)
1257: (0.3333333333333333, 1.3272409469085118)
1258: (0.6666666666666666, 0.6776756657832718)
1259: (1.0, 0.6776756657832718)
1260: (1.0, 1.3272409469085118)
1261: (0.6666666666666666, 1.3272409469085118)
1262: (-1.1102230246251565e-16, 0.6776756657832718)
1263: (0.33333333333333326, 0.6776756657832718)
1264: (0.33333333333333326, 1.3272409469085118)
1265: (-1.1102230246251565e-16, 1.3272409469085118)
1266: (0.3333333333333333, 1.3272409469085118)
1267: (0.6666666666666666, 1.3272409469085118)
1268: (0.6666666666666666, 2.047425503605304)
1269: (0.3333333333333333, 2.047425503605304)
1270: (0.6666666666666666, 1.3272409469085118)
1271: (1.0, 1.3272409469085118)
1272: (1.0, 2.047425503605304)
1273: (0.6666666666666666, 2.047425503605304)
1274: (-1.1102230246251565e-16, 1.3272409469085118)
1275: (0.33333333333333326, 1.3272409469085118)
1276: (0.33333333333333326, 2.047425503605304)
1277: (-1.1102230246251565e-16, 2.047425503605304)
1278: (0.3333333333333333, 2.047425503605304)
1279: (0.6666666666666666, 2.047425503605304)
1280: (0.6666666666666666, 3.638974934524259)
1281: (0.3333333333333333, 3.638974934524259)
1282: (0.6666666666666666, 2.047425503605304)
1283: (1.0, 2.047425503605304)
1284: (1.0, 3.638974934524259)
1285: (0.6666666666666666, 3.638974934524259)
1286: (-1.1102230246251565e-16, 2.047425503605304)
1287: (0.33333333333333326, 2.047425503605304)
1288: (0.33333333333333326, 3.638974934524259)
1289: (-1.1102230246251565e-16, 3.638974934524259)
1290: (0.3333333333333333, 3.638974934524259)
1291: (0.6666666666666666, 3.638974934524259)
1292: (0.6666666666666666, 5.230524365443213)
1293: (0.3333333333333333, 5.230524365443213)
1294: (0.6666666666666666, 3.638974934524259)
1295: (1.0, 3.638974934524259)
1296: (1.0, 5.230524365443213)
1297: (0.6666666666666666, 5.230524365443213)
1298: (-1.1102230246251565e-16, 3.638974934524259)
1299: (0.33333333333333326, 3.638974934524259)
1300: (0.33333333333333326, 5.230524365443213)
1301: (-1.1102230246251565e-16, 5.230524365443213)
1302: (0.2500000000000001, 0.9330127018922194)
1303: (1.0, 0.5)
1304: (0.5, 0.5)
1305: (0.24999999999999978, 0.06698729810778076)
1306: (0.2500000000000001, 0.9330127018922194)
1307: (0.5, 0.5)
1308: (1.0, 0.5)
1309: (0.24999999999999978, 0.06698729810778076)
1310: (0.5, 0.5)
1311: (0.5, 0.5)
1312: (0.5, 0.5)
1313: (0.5, 0.5)
1314: (0.5, 0.5)
1315: (0.5, 0.5)
1316: (0.5, 0.5)
1317: (0.5, 0.5)
1318: (0.5, 0.5)
1319: (0.5, 0.5)
1320: (0.3333333333333333, 0.0)
1321: (0.6666666666666666, 0.0)
1322: (0.6666666666666666, 0.739235089752065)
1323: (0.3333333333333333, 0.739235089752065)
1324: (0.6666666666666666, 0.0)
1325: (1.0, 0.0)
1326: (1.0, 0.739235089752065)
1327: (0.6666666666666666, 0.739235089752065)
1328: (-1.1102230246251565e-16, 0.0)
1329: (0.33333333333333326, 0.0)
1330: (0.33333333333333326, 0.739235089752065)
1331: (-1.1102230246251565e-16, 0.739235089752065)
1332: (0.3333333333333333, 0.739235089752065)
1333: (0.6666666666666666, 0.739235089752065)
1334: (0.6666666666666666, 1.2439359729009403)
1335: (0.3333333333333333, 1.2439359729009403)
1336: (0.6666666666666666, 0.739235089752065)
1337: (1.0, 0.739235089752065)
1338: (1.0, 1.2439359729009403)
1339: (0.6666666666666666, 1.2439359729009403)
1340: (-1.1102230246251565e-16, 0.739235089752065)
1341: (0.33333333333333326, 0.739235089752065)
1342: (0.33333333333333326, 1.2439359729009403)
1343: (-1.1102230246251565e-16, 1.2439359729009403)
1344: (0.3333333333333333, 1.2439359729009403)
1345: (0.6666666666666666, 1.2439359729009403)
1346: (0.6666666666666666, 2.039553643615321)
1347: (0.3333333333333333, 2.039553643615321)
1348: (0.6666666666666666, 1.2439359729009403)
1349: (1.0, 1.2439359729009403)
1350: (1.0, 2.039553643615321)
1351: (0.6666666666666666, 2.039553643615321)
1352: (-1.1102230246251565e-16, 1.2439359729009403)
1353: (0.33333333333333326, 1.2439359729009403)
1354: (0.33333333333333326, 2.039553643615321)
1355: (-1.1102230246251565e-16, 2.039553643615321)
1356: (0.3333333333333333, 2.039553643615321)
1357: (0.6666666666666666, 2.039553643615321)
1358: (0.6666666666666666, 3.631103074534276)
1359: (0.3333333333333333, 3.631103074534276)
1360: (0.6666666666666666, 2.039553643615321)
1361: (1.0, 2.039553643615321)
1362: (1.0, 3.631103074534276)
1363: (0.6666666666666666, 3.631103074534276)
1364: (-1.1102230246251565e-16, 2.039553643615321)
1365: (0.33333333333333326, 2.039553643615321)
1366: (0.33333333333333326, 3.631103074534276)
1367: (-1.1102230246251565e-16, 3.631103074534276)
1368: (0.3333333333333333, 3.631103074534276)
1369: (0.6666666666666666, 3.631103074534276)
1370: (0.6666666666666666, 5.222652505453231)
1371: (0.3333333333333333, 5.222652505453231)
1372: (0.6666666666666666, 3.631103074534276)
1373: (1.0, 3.631103074534276)
1374: (1.0, 5.222652505453231)
1375: (0.6666666666666666, 5.222652505453231)
1376: (-1.1102230246251565e-16, 3.631103074534276)
1377: (0.33333333333333326, 3.631103074534276)
1378: (0.33333333333333326, 5.222652505453231)
1379: (-1.1102230246251565e-16, 5.222652505453231)
1380: (0.3333333333333333, 5.222652505453231)
1381: (0.6666666666666666, 5.222652505453231)
1382: (0.6666666666666666, 6.814201936372184)
1383: (0.3333333333333333, 6.814201936372184)
1384: (0.6666666666666666, 5.222652505453231)
1385: (1.0, 5.222652505453231)
1386: (1.0, 6.814201936372184)
1387: (0.6666666666666666, 6.814201936372184)
1388: (-1.1102230246251565e-16, 5.222652505453231)
1389: (0.33333333333333326, 5.222652505453231)
1390: (0.33333333333333326, 6.814201936372184)
1391: (-1.1102230246251565e-16, 6.814201936372184)
1392: (0.3333333333333333, 6.814201936372184)
1393: (0.6666666666666666, 6.814201936372184)
1394: (0.6666666666666666, 8.405751367291137)
1395: (0.3333333333333333, 8.405751367291137)
1396: (0.6666666666666666, 6.814201936372184)
1397: (1.0, 6.814201936372184)
1398: (1.0, 8.405751367291137)
1399: (0.6666666666666666, 8.405751367291137)
1400: (-1.1102230246251565e-16, 6.814201936372184)
1401: (0.33333333333333326, 6.814201936372184)
1402: (0.33333333333333326, 8.405751367291137)
1403: (-1.1102230246251565e-16, 8.405751367291137)
1404: (0.2500000000000001, 0.9330127018922194)
1405: (1.0, 0.5)
1406: (0.5, 0.5)
1407: (0.24999999999999978, 0.06698729810778076)
1408: (0.2500000000000001, 0.9330127018922194)
1409: (0.5, 0.5)
