# Root UV coordinates (u, v)
167: (3.0, 39.689263933541326)
168: (3.0, 57.4265884527417)
169: (2.769230769230769, 57.4265884527417)
170: (0.2142857142857144, 39.689263933541326)
171: (0.4285714285714288, 39.689263933541326)
172: (0.23076923076923084, 57.4265884527417)
173: (0.0, 57.4265884527417)
174: (0.0, 39.689263933541326)
175: (0.2142857142857144, 39.689263933541326)
176: (0.0, 57.4265884527417)
177: (0.46153846153846156, 57.4265884527417)
178: (0.6923076923076923, 57.4265884527417)
179: (0.5, 87.04643059807418)
180: (0.25, 87.04643059807418)
181: (0.6923076923076923, 57.4265884527417)
182: (0.9230769230769231, 57.4265884527417)
183: (0.75, 87.04643059807418)
184: (0.5, 87.04643059807418)
185: (0.9230769230769231, 57.4265884527417)
186: (1.153846153846154, 57.4265884527417)
187: (1.0, 87.04643059807418)
188: (0.75, 87.04643059807418)
189: (1.153846153846154, 57.4265884527417)
190: (1.3846153846153846, 57.4265884527417)
191: (1.25, 87.04643059807418)
192: (1.0, 87.04643059807418)
193: (1.3846153846153846, 57.4265884527417)
194: (1.6153846153846156, 57.4265884527417)
195: (1.5, 87.04643059807418)
196: (1.25, 87.04643059807418)
197: (1.6153846153846156, 57.4265884527417)
198: (1.8461538461538463, 57.4265884527417)
199: (1.7499999999999998, 87.04643059807418)
200: (1.5, 87.04643059807418)
201: (1.8461538461538463, 57.4265884527417)
202: (2.0769230769230766, 57.4265884527417)
203: (2.0, 87.04643059807418)
204: (1.7499999999999998, 87.04643059807418)
205: (2.0769230769230766, 57.4265884527417)
206: (2.307692307692308, 57.4265884527417)
207: (2.25, 87.04643059807418)
208: (2.0, 87.04643059807418)
209: (2.307692307692308, 57.4265884527417)
210: (2.5384615384615388, 57.4265884527417)
211: (2.5, 87.04643059807418)
212: (2.25, 87.04643059807418)
213: (2.5384615384615388, 57.4265884527417)
214: (2.769230769230769, 57.4265884527417)
215: (2.75, 87.04643059807418)
216: (2.5, 87.04643059807418)
217: (2.769230769230769, 57.4265884527417)
218: (3.0, 57.4265884527417)
219: (3.0, 87.04643059807418)
220: (2.75, 87.04643059807418)
221: (0.23076923076923084, 57.4265884527417)
222: (0.4615384615384617, 57.4265884527417)
223: (0.25, 87.04643059807418)
224: (0.0, 87.04643059807418)
225: (0.0, 57.4265884527417)
226: (0.23076923076923084, 57.4265884527417)
227: (0.0, 87.04643059807418)
228: (0.5, 87.04643059807418)
229: (0.75, 87.04643059807418)
230: (0.5454545454545454, 882.8211460575507)
231: (0.2727272727272727, 882.8211460575507)
232: (0.75, 87.04643059807418)
233: (1.0, 87.04643059807418)
234: (0.8181818181818181, 882.8211460575507)
235: (0.5454545454545454, 882.8211460575507)
236: (1.0, 87.04643059807418)
237: (1.25, 87.04643059807418)
238: (1.0909090909090908, 882.8211460575507)
239: (0.8181818181818181, 882.8211460575507)
240: (1.25, 87.04643059807418)
241: (1.5, 87.04643059807418)
242: (1.3636363636363638, 882.8211460575507)
243: (1.0909090909090908, 882.8211460575507)
244: (1.5, 87.04643059807418)
245: (1.7499999999999998, 87.04643059807418)
246: (1.6363636363636362, 882.8211460575507)
247: (1.3636363636363638, 882.8211460575507)
248: (1.7499999999999998, 87.04643059807418)
249: (2.0, 87.04643059807418)
250: (1.9090909090909092, 882.8211460575507)
251: (1.6363636363636362, 882.8211460575507)
252: (2.0, 87.04643059807418)
253: (2.25, 87.04643059807418)
254: (2.1818181818181817, 882.8211460575507)
255: (1.9090909090909092, 882.8211460575507)
256: (2.25, 87.04643059807418)
257: (2.5, 87.04643059807418)
258: (2.4545454545454546, 882.8211460575507)
259: (2.1818181818181817, 882.8211460575507)
260: (2.5, 87.04643059807418)
261: (2.75, 87.04643059807418)
262: (2.7272727272727275, 882.8211460575507)
263: (2.4545454545454546, 882.8211460575507)
264: (2.75, 87.04643059807418)
265: (3.0, 87.04643059807418)
266: (3.0, 882.8211460575507)
267: (2.7272727272727275, 882.8211460575507)
268: (0.25, 87.04643059807418)
269: (0.5, 87.04643059807418)
270: (0.2727272727272725, 882.8211460575507)
271: (0.0, 882.8211460575507)
272: (0.0, 87.04643059807418)
273: (0.25, 87.04643059807418)
274: (0.0, 882.8211460575507)
275: (0.5454545454545454, 882.8211460575507)
276: (0.8181818181818181, 882.8211460575507)
277: (0.6000000000000001, 1877.5395403818961)
278: (0.30000000000000004, 1877.5395403818961)
279: (0.8181818181818181, 882.8211460575507)
280: (1.0909090909090908, 882.8211460575507)
281: (0.9000000000000001, 1877.5395403818961)
282: (0.6000000000000001, 1877.5395403818961)
283: (1.0909090909090908, 882.8211460575507)
284: (1.3636363636363638, 882.8211460575507)
285: (1.2000000000000002, 1877.5395403818961)
286: (0.9000000000000001, 1877.5395403818961)
287: (1.3636363636363638, 882.8211460575507)
288: (1.6363636363636362, 882.8211460575507)
289: (1.5, 1877.5395403818961)
290: (1.2000000000000002, 1877.5395403818961)
291: (1.6363636363636362, 882.8211460575507)
292: (1.9090909090909092, 882.8211460575507)
293: (1.8000000000000003, 1877.5395403818961)
294: (1.5, 1877.5395403818961)
295: (1.9090909090909092, 882.8211460575507)
296: (2.1818181818181817, 882.8211460575507)
297: (2.1, 1877.5395403818961)
298: (1.8000000000000003, 1877.5395403818961)
299: (2.1818181818181817, 882.8211460575507)
300: (2.4545454545454546, 882.8211460575507)
301: (2.4000000000000004, 1877.5395403818961)
302: (2.1, 1877.5395403818961)
303: (2.4545454545454546, 882.8211460575507)
304: (2.7272727272727275, 882.8211460575507)
305: (2.7, 1877.5395403818961)
306: (2.4000000000000004, 1877.5395403818961)
307: (2.7272727272727275, 882.8211460575507)
308: (3.0, 882.8211460575507)
309: (3.0, 1877.5395403818961)
310: (2.7, 1877.5395403818961)
311: (0.2727272727272725, 882.8211460575507)
312: (0.545454545454545, 882.8211460575507)
313: (0.2999999999999998, 1877.5395403818961)
314: (0.0, 1877.5395403818961)
315: (-4.440892098500626e-16, 882.8211460575507)
316: (0.2727272727272725, 882.8211460575507)
317: (0.0, 1877.5395403818961)
318: (0.6000000000000001, 1877.5395403818961)
319: (0.9000000000000001, 1877.5395403818961)
320: (0.6666666666666666, 3120.9375332873283)
321: (0.3333333333333333, 3120.9375332873283)
322: (0.9000000000000001, 1877.5395403818961)
323: (1.2000000000000002, 1877.5395403818961)
324: (1.0, 3120.9375332873283)
325: (0.6666666666666666, 3120.9375332873283)
326: (1.2000000000000002, 1877.5395403818961)
327: (1.5, 1877.5395403818961)
328: (1.3333333333333333, 3120.9375332873283)
329: (1.0, 3120.9375332873283)
330: (1.5, 1877.5395403818961)
331: (1.8000000000000003, 1877.5395403818961)
332: (1.6666666666666667, 3120.9375332873283)
333: (1.3333333333333333, 3120.9375332873283)
334: (1.8000000000000003, 1877.5395403818961)
335: (2.1, 1877.5395403818961)
336: (2.0, 3120.9375332873283)
337: (1.6666666666666667, 3120.9375332873283)
338: (2.1, 1877.5395403818961)
339: (2.4000000000000004, 1877.5395403818961)
340: (2.333333333333333, 3120.9375332873283)
341: (2.0, 3120.9375332873283)
342: (2.4000000000000004, 1877.5395403818961)
343: (2.7, 1877.5395403818961)
344: (2.6666666666666665, 3120.9375332873283)
345: (2.333333333333333, 3120.9375332873283)
346: (2.7, 1877.5395403818961)
347: (3.0, 1877.5395403818961)
348: (3.0, 3120.9375332873283)
349: (2.6666666666666665, 3120.9375332873283)
350: (0.2999999999999998, 1877.5395403818961)
351: (0.5999999999999996, 1877.5395403818961)
352: (0.3333333333333335, 3120.9375332873283)
353: (0.0, 3120.9375332873283)
354: (0.0, 1877.5395403818961)
355: (0.2999999999999998, 1877.5395403818961)
356: (0.0, 3120.9375332873283)
357: (0.6666666666666666, 3120.9375332873283)
358: (1.0, 3120.9375332873283)
359: (0.75, 4675.185024419118)
360: (0.375, 4675.185024419118)
361: (1.0, 3120.9375332873283)
362: (1.3333333333333333, 3120.9375332873283)
363: (1.125, 4675.185024419118)
364: (0.75, 4675.185024419118)
365: (1.3333333333333333, 3120.9375332873283)
366: (1.6666666666666667, 3120.9375332873283)
367: (1.5, 4675.185024419118)
368: (1.125, 4675.185024419118)
369: (1.6666666666666667, 3120.9375332873283)
370: (2.0, 3120.9375332873283)
371: (1.875, 4675.185024419118)
372: (1.5, 4675.185024419118)
373: (2.0, 3120.9375332873283)
374: (2.333333333333333, 3120.9375332873283)
375: (2.25, 4675.185024419118)
376: (1.875, 4675.185024419118)
377: (2.333333333333333, 3120.9375332873283)
378: (2.6666666666666665, 3120.9375332873283)
379: (2.625, 4675.185024419118)
380: (2.25, 4675.185024419118)
381: (2.6666666666666665, 3120.9375332873283)
382: (3.0, 3120.9375332873283)
383: (3.0, 4675.185024419118)
384: (2.625, 4675.185024419118)
385: (0.3333333333333335, 3120.9375332873283)
386: (0.666666666666667, 3120.9375332873283)
387: (0.375, 4675.185024419118)
388: (0.0, 4675.185024419118)
389: (0.0, 3120.9375332873283)
390: (0.3333333333333335, 3120.9375332873283)
391: (0.0, 4675.185024419118)
392: (0.75, 4675.185024419118)
393: (1.125, 4675.185024419118)
394: (0.8571428571428571, 6617.994388333856)
395: (0.42857142857142855, 6617.994388333856)
396: (1.125, 4675.185024419118)
397: (1.5, 4675.185024419118)
398: (1.2857142857142856, 6617.994388333856)
399: (0.8571428571428571, 6617.994388333856)
400: (1.5, 4675.185024419118)
401: (1.875, 4675.185024419118)
402: (1.7142857142857142, 6617.994388333856)
403: (1.2857142857142856, 6617.994388333856)
404: (1.875, 4675.185024419118)
405: (2.25, 4675.185024419118)
406: (2.1428571428571423, 6617.994388333856)
407: (1.7142857142857142, 6617.994388333856)
408: (2.25, 4675.185024419118)
409: (2.625, 4675.185024419118)
410: (2.571428571428571, 6617.994388333856)
411: (2.1428571428571423, 6617.994388333856)
412: (2.625, 4675.185024419118)
413: (3.0, 4675.185024419118)
