# Point coordinates (x, y, z)
0: -0.001959661565456794, 0.0, -0.007838646261827021
1: -0.0018104912109745408, -0.0007499300141429188, -0.007838646261827021
2: -0.001385689981765137, -0.0013856899817650259, -0.007838646261827021
3: -0.0007499300141429188, -0.0018104912109744298, -0.007838646261827021
4: 0.0, -0.001959661565456683, -0.007838646261827021
5: 0.0007499300141429188, -0.0018104912109744298, -0.007838646261827021
6: 0.0013856899817650259, -0.0013856899817650259, -0.007838646261827021
7: 0.0018104912109744298, -0.0007499300141429188, -0.007838646261827021
8: 0.001959661565456683, 0.0, -0.007838646261827021
9: 0.0018104912109744298, 0.0007499300141429188, -0.007838646261827021
10: 0.0013856899817650259, 0.0013856899817650259, -0.007838646261827021
11: 0.0007499300141429188, 0.0018104912109744298, -0.007838646261827021
12: 0.0, 0.001959661565456905, -0.007838646261827021
13: -0.0007499300141429188, 0.0018104912109744298, -0.007838646261827021
14: -0.001385689981765137, 0.0013856899817650259, -0.007838646261827021
15: -0.0018104912109745408, 0.0007499300141429188, -0.007838646261827021
16: -0.007419001037021977, 0.0, -0.003919323130913511
17: -0.00685426320978455, -0.002839128781567668, -0.003919323130913511
18: -0.005246025942908239, -0.005246025942908128, -0.003919323130913511
19: -0.002839128781567668, -0.00685426320978455, -0.003919323130913511
20: 0.0, -0.007419001037021866, -0.003919323130913511
21: 0.002839128781567668, -0.00685426320978455, -0.003919323130913511
22: 0.005246025942908128, -0.005246025942908128, -0.003919323130913511
23: 0.00685426320978455, -0.002839128781567668, -0.003919323130913511
24: 0.007419001037021866, 0.0, -0.003919323130913511
25: 0.00685426320978455, 0.00283912878156789, -0.003919323130913511
26: 0.005246025942908128, 0.00524602594290835, -0.003919323130913511
27: 0.002839128781567668, 0.006854263209784772, -0.003919323130913511
28: 0.0, 0.007419001037022088, -0.003919323130913511
29: -0.002839128781567668, 0.006854263209784772, -0.003919323130913511
30: -0.005246025942908239, 0.00524602594290835, -0.003919323130913511
31: -0.00685426320978455, 0.00283912878156789, -0.003919323130913511
32: -0.005361387615663404, 5.091360311126891e-08, -5.1404708320378375e-05
33: -0.004908967213645088, -0.002033411648965311, -5.10950837540183e-05
34: -0.003638538516080536, -0.003638698618229741, -4.20942322065804e-05
35: -0.002052802077541771, -0.004956214816014937, -2.9500163696933774e-05
36: 5.0020381836546335e-08, -0.005267559953392453, -1.0434240952774055e-05
37: 0.001978634677509028, -0.004776966133218652, 9.508201006269071e-06
38: 0.0038105900721228103, -0.003810757741661064, 2.8986930349197627e-05
39: 0.004823785851225226, -0.001998203388065667, 4.229197989007152e-05
40: 0.005173268751955895, -4.912716078386836e-08, 4.960103434422475e-05
41: 0.005069536075994474, 0.002099923112772739, 5.276636798000053e-05
42: 0.0035444799774480007, 0.0035446359408544126, 4.100606948720405e-05
43: 0.002080350815694576, 0.005022727543027905, 2.98960578233281e-05
44: -5.002038194756864e-08, 0.005267559953392453, 1.0434240952774079e-05
45: -0.0019510846761507938, 0.004710452882969118, -9.37581125609766e-06
46: -0.003904650397197562, 0.0039048222054782755, -2.970244160597487e-05
47: -0.004663215725670411, 0.0019316888746105931, -4.0884200040312165e-05
48: -0.012308125316982998, -0.001988564451905095, 0.9999201828158428
49: -0.01207612499262023, -0.0030799245797794583, 0.9999180606581864
50: -0.011420317163619687, -0.003982586213563621, 0.9999217551252688
51: -0.010454096961442727, -0.004540470956352793, 0.9999306274101682
52: -0.009344532636880731, -0.0046571154678951565, 0.9999431434142234
53: -0.008283477941725903, -0.004312350852462732, 0.9999571390066287
54: -0.0074543988721497145, -0.0035657900441521395, 0.9999701942223116
55: -0.007000650731228908, -0.002546520189012025, 0.9999800516958773
56: -0.007000690694701106, -0.0014307823047725599, 0.9999850069805942
57: -0.007454511852518775, -0.00041149760777869915, 0.9999842032627172
58: -0.008283644403659696, 0.0003350903179484277, 0.999977779512369
59: -0.009344723797598653, 0.0006798896375119767, 0.9999668464543425
60: -0.010454279767520003, 0.0005632814161562472, 0.9999532945136944
61: -0.011420460006224764, 5.42827470573215e-06, 0.9999394669440781
62: -0.01207620317296898, -0.0008972119107457655, 0.9999277546579
63: -0.015108701416725157, -0.004767401224161416, 1.074634466500769
64: -0.014864839455044798, -0.005848808117789872, 1.0746435441445696
65: -0.014177585911627433, -0.006717355500694744, 1.074691501837051
66: -0.013183059779358741, -0.007201016911657199, 1.0747688409690548
67: -0.012078239155796866, -0.007203997276518326, 1.0748602435769854
68: -0.011081947315174201, -0.006725706297465273, 1.074947606253363
69: -0.010391512075243359, -0.005860875368753682, 1.0750136257486975
70: -0.010143682602905435, -0.004780794862269788, 1.0750452260922627
71: -0.010387544564585793, -0.0036993879686413322, 1.075036148448462
72: -0.011074798108003159, -0.0028308405857364605, 1.0749881907559806
73: -0.01206932424027185, -0.0023471791747740056, 1.074910851623977
74: -0.013174144863833726, -0.0023441988099128785, 1.0748194490160463
75: -0.01417043670445639, -0.0028224897889659317, 1.0747320863396688
76: -0.014860871944387233, -0.0036873207176775225, 1.0746660668443342
77: -0.02420534817935971, -0.003518771564996026, 1.1489591243804413
78: -0.023945812552633727, -0.004560512148181983, 1.148945072216179
79: -0.023235990764862824, -0.0053642395956514655, 1.148999430907365
80: -0.022238494433345468, -0.005745829635154687, 1.149109747532942
81: -0.021181837946498194, -0.005617864587299959, 1.1492507498834497
82: -0.02030808857136679, -0.005009659702404967, 1.1493901360196495
83: -0.019817411759972314, -0.004060547389935554, 1.1494959742575228
84: -0.019822215656508657, -0.0029879578426352804, 1.149544018332262
85: -0.02032139974617253, -0.0020376083996851424, 1.1495232619253384
86: -0.021200606969842495, -0.0014272126655128226, 1.149438460079436
