fid,species,x,y,z,height,twig_density,surround_radius
1,Small-leaved linden,0.0,0.0,0.0,30,1.0,0.0
2,Small-leaved linden,100.0,0.0,0.0,30,1.0,7.0
3,Small-leaved linden,200.0,0.0,0.0,30,1.0,15.0
